,EPIC,camp,KOI,Mult,period,period_err,bjd0,bjd0_err,pdepth,sdepth,pwidth,swidth,sep,morph,ra,dec,GLon,GLat,kmag,Teff,Teff(Pinsonneault),Teff(Casagrande),SC,Unnamed: 23,tgas_hip,tgas_tycho2_id,tgas_solution_id,tgas_source_id,tgas_random_index,tgas_ref_epoch,tgas_ra,tgas_ra_error,tgas_dec,tgas_dec_error,tgas_parallax,tgas_parallax_error,tgas_pmra,tgas_pmra_error,tgas_pmdec,tgas_pmdec_error,tgas_ra_dec_corr,tgas_ra_parallax_corr,tgas_ra_pmra_corr,tgas_ra_pmdec_corr,tgas_dec_parallax_corr,tgas_dec_pmra_corr,tgas_dec_pmdec_corr,tgas_parallax_pmra_corr,tgas_parallax_pmdec_corr,tgas_pmra_pmdec_corr,tgas_astrometric_n_obs_al,tgas_astrometric_n_obs_ac,tgas_astrometric_n_good_obs_al,tgas_astrometric_n_good_obs_ac,tgas_astrometric_n_bad_obs_al,tgas_astrometric_n_bad_obs_ac,tgas_astrometric_delta_q,tgas_astrometric_excess_noise,tgas_astrometric_excess_noise_sig,tgas_astrometric_primary_flag,tgas_astrometric_relegation_factor,tgas_astrometric_weight_al,tgas_astrometric_weight_ac,tgas_astrometric_priors_used,tgas_matched_observations,tgas_duplicated_source,tgas_scan_direction_strength_k1,tgas_scan_direction_strength_k2,tgas_scan_direction_strength_k3,tgas_scan_direction_strength_k4,tgas_scan_direction_mean_k1,tgas_scan_direction_mean_k2,tgas_scan_direction_mean_k3,tgas_scan_direction_mean_k4,tgas_phot_g_n_obs,tgas_phot_g_mean_flux,tgas_phot_g_mean_flux_error,tgas_phot_g_mean_mag,tgas_phot_variable_flag,tgas_l,tgas_b,tgas_ecl_lon,tgas_ecl_lat,tgas_match_distance
99,60017814,K2E,-1,1,0.4816536,0.0008402,54998.408896,0.020029,-0.2578,-1.0,0.3772,-1.0,1.0,0.38,356.8264,-8.0867,-1.0,-1.0,10.4,-1.0,-1.0,-1.0,False,,117317,           ,1635378410781933568,2436283193217778176,1268250,2015.0,356.826396093,0.29222309197,-8.08669280275,0.166051821018,3.06775293585,0.329050092047,-10.3535968226,0.12085618925,0.0607196483657,0.0961350681738,0.440444052219,-0.564709544182,0.0611941702664,-0.0203987546265,-0.523481786251,-0.00674876291305,0.0127217778936,-0.183542966843,-0.170453771949,0.486234515905,70,70,69,70,1,0,2.94907665253,0.510229783337,318.210234199,True,5.04527235031,3.30861616135,2.87215862045e-05,3,10,True,0.217618882656,0.505616366863,0.353830337524,0.253904283047,-159.472259521,-13.5885438919,-39.0574645996,22.9532260895,75,1060899.16648,11329.7476296,10.4605847933,NOT_AVAILABLE,81.3968498196,-65.6450235223,353.865649875,-6.1574445553,3.98815162888e-05
101,211538914,K2C5,-1,1,0.4935475,2.83e-05,2457140.27534,0.030256,0.0564,0.058,0.1571,0.1708,0.4969,0.89,136.9686,13.6866,-1.0,-1.0,10.11,-1.0,-1.0,-1.0,False,,-2147483648,818-408-1  ,1635378410781933568,606153132531034112,2042967,2015.0,136.968610115,0.356082549097,13.6866157095,0.349083011008,4.09968617436,0.481097535774,-9.25510701116,0.697292805737,6.46633860116,0.961735153225,-0.627547860146,-0.623389542103,-0.636335611343,-0.719292581081,0.736522853374,0.358846902847,0.520435094833,0.660992741585,0.610797226429,0.392204761505,36,36,36,36,0,0,,0.501808325998,101.659216518,True,4.9652967453,3.73806428909,2.00497670448e-05,5,6,False,0.366406828165,0.512422978878,0.38396653533,0.920711398125,110.460571289,50.3077583313,52.3956184387,-32.4407730103,51,2466426.96437,14956.3116192,9.5445994146,NOT_AVAILABLE,215.62645588,36.3558626207,135.316135859,-2.67371604777,4.96777183811e-05
117,205934569,K2C3,-1,1,0.542624,3.72e-05,2456979.84168,0.024987,0.2601,-1.0,0.19,-1.0,1.0,0.65,334.8428,-16.8926,-1.0,-1.0,10.721,-1.0,-1.0,-1.0,False,,-2147483648,6378-652-1 ,1635378410781933568,2595576555199531392,23698,2015.0,334.842806468,0.419457592973,-16.8925755993,0.541753425402,1.96972476609,0.651888102908,11.6570862462,1.9902166346,2.11005478677,3.15073304158,0.863956272602,0.833102524281,-0.266990751028,0.534304320812,0.621121764183,0.058835439384,0.76906400919,-0.657031416893,0.18299613893,0.561941921711,45,45,45,44,0,1,,0.470579949446,149.44591534,True,4.66922950745,3.95424890518,3.17335434374e-05,5,6,False,0.473789989948,0.601382434368,0.369455367327,0.980138003826,-33.5405158997,-60.1343193054,51.9661026001,27.2341747284,35,849878.343902,7718.94435749,10.7013781565,NOT_AVAILABLE,41.1514317089,-53.4565394235,330.561629955,-6.01566925058,4.51656047019e-05
124,202071293,K2C0,-1,1,0.5729344,0.0001106,56774.626426,0.020832,0.0512,0.0501,0.1333,0.1268,0.502,0.68,96.5968,16.0512,-1.0,-1.0,10.8,-1.0,-1.0,-1.0,False,,-2147483648,1328-919-1  ,1635378410781933568,3368951559340695808,6088,2015.0,96.5968885632,0.387268048188,16.0511146216,0.397390037511,3.05749916107,0.230213676865,17.7517428353,1.79591991072,-20.2411897958,1.60524570185,-0.865848779678,-0.111958362162,-0.899431407452,0.903950989246,-0.150932431221,0.838032305241,-0.880289316177,0.262684524059,-0.181385695934,-0.961860179901,57,57,56,56,1,1,,0.237412194157,81.1240438449,True,2.5089161396,14.8134365082,2.8450100217e-05,5,7,False,0.42929533124,0.386502176523,0.600524902344,0.941126346588,-90.8527832031,36.3310546875,-26.6507797241,-42.7942276001,58,927117.378943,1953.73220178,10.6069332587,NOT_AVAILABLE,195.832114715,1.8783378292,96.3898340907,-7.24195954377,1.11934260035e-05
136,205405404,K2C2,-1,1,0.6433316,3.85e-05,56893.614808,0.03381,0.2691,0.1133,0.2029,0.2736,0.505,0.69,246.0846,-17.7858,-1.0,-1.0,11.926,-1.0,-1.0,-1.0,False,,-2147483648,6207-213-1  ,1635378410781933568,4324609888968244736,1399607,2015.0,246.084575588,0.321060028595,-17.7858194657,0.298975776095,1.43518397483,0.272696571109,-3.677520458,1.1309492514,-9.09041787476,0.683365919121,0.649092614651,-0.353152871132,-0.69947052002,-0.676425635815,-0.539752244949,-0.694164395332,-0.897849619389,0.187151476741,0.42751327157,0.719059348106,126,126,126,116,0,10,,0.544949669644,152.830629279,True,5.37551736832,3.29391431808,2.73841251328e-05,5,16,False,0.225999772549,0.528534531593,0.318785727024,0.0945030599833,-76.8787689209,1.91731846333,-12.8276023865,44.5347480774,143,285399.041778,2531.2477217,11.8861387872,NOT_AVAILABLE,358.046110173,21.5961030186,247.241034159,3.78384598141,2.00431154829e-05
139,202073270,K2C0,-1,1,0.6593031,0.000133,56774.458463,0.027349,0.3294,0.0911,0.1682,0.1603,0.5409,0.62,92.855,18.5497,-1.0,-1.0,10.5,-1.0,-1.0,-1.0,False,,-2147483648,1318-945-1  ,1635378410781933568,3373633142414827392,721377,2015.0,92.8548495838,0.370422681168,18.5498732482,0.388559296941,2.56211925095,0.245904810856,-0.540242841387,1.4589570892,-4.76195867624,1.33556195584,-0.797221004963,0.0112417154014,-0.896490037441,0.870904803276,-0.349738925695,0.799671769142,-0.846978366375,0.0923971757293,-0.0558626055717,-0.951553225517,72,72,72,71,0,1,,0.334638098746,202.284065344,True,3.39399504662,7.75770235062,2.83898825728e-05,5,8,False,0.471644848585,0.300707489252,0.669332146645,0.935067772865,-88.0054626465,30.3543357849,-27.9272918701,-43.2548751831,72,957991.039249,17731.6850629,10.5713664467,NOT_AVAILABLE,191.940151727,-0.0871347947879,92.7162159717,-4.86249392429,0.000238708935144
147,203633064,K2C2,-1,1,0.7099475,4.42e-05,56893.413723,0.016051,0.0167,0.0024,0.0948,0.1124,0.4934,0.54,239.2255,-25.4739,-1.0,-1.0,12.304,-1.0,-1.0,-1.0,False,,-2147483648,6783-842-1 ,1635378410781933568,6235673420029834752,1391807,2015.0,239.225511213,0.749024667973,-25.4738412069,0.149426689498,1.6852481418,0.498311053763,-5.60927775916,2.11438244559,-15.5115831288,0.433575440901,-0.678655743599,-0.928360700607,-0.956950962543,0.446167290211,0.698654830456,0.576544702053,-0.847540616989,0.898013174534,-0.518082082272,-0.294867366552,223,223,222,215,1,8,,0.546284665083,189.206308378,True,5.38823080063,3.28367853165,2.3644473913e-05,5,27,False,0.501251995564,0.771463274956,0.388696700335,0.475858330727,-160.904891968,1.58928287029,-47.4161949158,-1.74661588669,235,204778.437228,102.892701945,12.246559503,NOT_AVAILABLE,347.348488018,20.996558474,242.377895876,-4.93748462309,0.000127888886408
148,211505107,K2C5,-1,1,0.7145944,4.79e-05,2457139.52861,0.025131,0.1867,-1.0,0.1543,-1.0,1.0,0.61,127.3313,13.2109,-1.0,-1.0,10.537,-1.0,-1.0,-1.0,False,,-2147483648,808-508-1  ,1635378410781933568,650968436205307392,1693883,2015.0,127.331277728,0.56307166259,13.2109122164,0.425686064598,2.26298415955,0.741752825474,-2.66454661809,1.50706100455,5.34668600279,1.08010897923,-0.446408450603,-0.274358272552,-0.291469573975,0.129341721535,-0.0235467460006,0.0593906827271,-0.207927852869,0.577158629894,-0.183486357331,-0.452685624361,85,85,85,84,0,1,,1.73472490757,2821.34397129,True,16.8427677155,0.298145443201,2.02476803679e-05,5,11,False,0.36934247613,0.51147300005,0.219664022326,0.560377538204,-161.171859741,29.5303897858,-40.6564292908,-40.4127464294,93,1075033.55599,16747.4382606,10.4462150126,NOT_AVAILABLE,211.670931035,27.588969565,126.38753429,-5.63788346896,1.46007334598e-05
151,212159987,K2C5,-1,1,0.717915,4.85e-05,2457140.63091,0.039625,0.289,0.2697,0.1931,0.1716,0.4999,0.8,126.5769,23.2536,-1.0,-1.0,11.977,-1.0,-1.0,-1.0,False,,-2147483648,1941-409-1 ,1635378410781933568,677931966012188288,1723877,2015.0,126.576873257,0.169501260809,23.2536911494,0.110381970695,1.48370582036,0.371787664605,2.46521864002,1.31956916795,-7.33036739337,0.879408893107,-0.383710026741,-0.307704955339,-0.402994513512,0.268099576235,0.473344624043,0.414404034615,-0.528017401695,0.845697104931,-0.854506671429,-0.933798968792,151,151,151,145,0,6,,0.482555098033,263.950864669,True,4.78266477585,4.11832666397,2.51861092693e-05,5,26,False,0.0889453813434,0.626962959766,0.0627681836486,0.418402522802,139.865066528,21.7849597931,42.135635376,39.2832374573,221,257162.645396,2097.88198765,11.9992503522,NOT_AVAILABLE,200.667264396,30.5919167499,123.284137338,3.94139488521,0.000126582150544
155,202073253,K2C0,-1,1,0.7338012,0.000154,56774.61961,0.029576,0.3657,0.3658,0.15,0.1361,0.5069,0.74,93.5304,17.6744,-1.0,-1.0,11.2,-1.0,-1.0,-1.0,False,,-2147483648,1318-604-1  ,1635378410781933568,3373338542016805376,1996195,2015.0,93.5298950208,0.487299415764,17.6741619875,0.468276712958,0.67457648624,0.271471681722,1.9255292862,2.01248216686,-2.21217060793,1.843669645,-0.803205907345,0.161955490708,-0.837371885777,0.77974820137,-0.129866838455,0.794388771057,-0.866781234741,0.128544539213,-0.110879138112,-0.925799548626,51,51,50,48,1,3,,0.47643015497,283.535120454,True,4.724629879,4.1471362114,3.56279706466e-05,5,6,False,0.304846853018,0.382919639349,0.37300696969,0.952865540981,-29.2449417114,37.3466758728,-40.8958244324,-43.087310791,50,544333.2074,12428.6888709,11.18510799,NOT_AVAILABLE,193.016325169,0.0555455448587,93.3799675975,-5.7237127297,0.000540028427651
