,ra_str,dec_str,WDS,DD,ADS,HD,HIP,V1,V1_err,V2,V2_err,period,period_units,eee.eeeeee,AAA.AAAAA,*,ee.eeeee,III.IIII,eee.eeee,NNN.NNNN,*.1,eee.eeee.1,TTTTT.TTTTTT,*.2,eee.eeeeee.1,E.EEEEEE,e.eeeeee,OOO.OOOO,eee.eeee.2,EQNX,LAST,G,N,REF,PNGFILE,period_days,ra,dec,tgas_hip,tgas_tycho2_id,tgas_solution_id,tgas_source_id,tgas_random_index,tgas_ref_epoch,tgas_ra,tgas_ra_error,tgas_dec,tgas_dec_error,tgas_parallax,tgas_parallax_error,tgas_pmra,tgas_pmra_error,tgas_pmdec,tgas_pmdec_error,tgas_ra_dec_corr,tgas_ra_parallax_corr,tgas_ra_pmra_corr,tgas_ra_pmdec_corr,tgas_dec_parallax_corr,tgas_dec_pmra_corr,tgas_dec_pmdec_corr,tgas_parallax_pmra_corr,tgas_parallax_pmdec_corr,tgas_pmra_pmdec_corr,tgas_astrometric_n_obs_al,tgas_astrometric_n_obs_ac,tgas_astrometric_n_good_obs_al,tgas_astrometric_n_good_obs_ac,tgas_astrometric_n_bad_obs_al,tgas_astrometric_n_bad_obs_ac,tgas_astrometric_delta_q,tgas_astrometric_excess_noise,tgas_astrometric_excess_noise_sig,tgas_astrometric_primary_flag,tgas_astrometric_relegation_factor,tgas_astrometric_weight_al,tgas_astrometric_weight_ac,tgas_astrometric_priors_used,tgas_matched_observations,tgas_duplicated_source,tgas_scan_direction_strength_k1,tgas_scan_direction_strength_k2,tgas_scan_direction_strength_k3,tgas_scan_direction_strength_k4,tgas_scan_direction_mean_k1,tgas_scan_direction_mean_k2,tgas_scan_direction_mean_k3,tgas_scan_direction_mean_k4,tgas_phot_g_n_obs,tgas_phot_g_mean_flux,tgas_phot_g_mean_flux_error,tgas_phot_g_mean_mag,tgas_phot_variable_flag,tgas_l,tgas_b,tgas_ecl_lon,tgas_ecl_lat,tgas_match_distance
1219,111011.93,-112135.9,11102-1122,HDS1590,,97038.0,54580.0,8.43,,8.78,,20.63,y,1.62,0.136,a,0.006,129.4,0.9,255.8,,5.4,1995.82,y,1.68,0.698,0.011,72.2,1.5,2000.0,2014.0,3,,Tok2015c,wds11102-1122o.png,7534.946586,167.549708333,-11.3599722222,54580,            ,1635378410781933568,3566207209539436800,1068047,2015.0,167.549697519,0.45116087688,-11.3604861352,0.401813591326,16.2945952027,0.397668304009,-1.84987505518,0.0496008385924,-79.6778294418,0.0380178924977,-0.821951568127,0.182114064693,0.35604056716,-0.3892608881,-0.237842470407,-0.292572438717,0.479330956936,0.102832831442,-0.0898600295186,-0.225186228752,63,63,63,62,0,1,4.74472570419,0.786588099277,130.332389131,True,7.68896341324,1.52085077763,7.51188554204e-06,3,7,False,0.431917309761,0.813467383385,0.398267507553,0.367655754089,26.8189907074,40.6651992798,29.4284858704,37.5117340088,61,16235068.0003,8348.95665048,7.49863478384,NOT_AVAILABLE,267.052331475,44.3447456671,173.116524231,-15.3553225147,0.000181945004315
1257,113155.26,-343627.4,11319-3436,"ZUC   1Aa,Ab",,,,8.46,k,8.39,k,6.024,y,0.009,63.7,m,0.2,97.5,0.1,36.5,,0.3,55328.0,d,6.,0.755,0.004,253.1,0.2,,2013.0,2,n,Koh2013,wds11319-3436b.png,2200.2190128,172.98025,-34.6076111111,-2147483648,7223-275-1 ,1635378410781933568,5398663561953650304,909536,2015.0,172.979824229,0.451833017101,-34.6076508408,0.194349074865,20.69465634,0.652620322999,-82.1878032,1.65455057677,-19.7338448446,0.569671898078,-0.542793214321,-0.851379334927,-0.916375875473,0.150365188718,0.44475415349,0.530492424965,-0.617972254753,0.889752209187,0.0259471144527,-0.141892209649,239,239,239,238,0,1,,0.994124729226,1484.84933864,True,9.68686962128,0.914071440697,2.68176718237e-05,5,29,True,0.37359380722,0.379094332457,0.349517703056,0.454842835665,-11.5190477371,9.50963687897,6.92467784882,-1.25279819965,237,1279689.90361,1324.74784222,10.2570082051,NOT_AVAILABLE,284.873740986,25.4602698213,189.290125742,-34.1319753389,4.32385860393e-05
1259,113212.54,+361450.4,11322+3615,HU 1134,8198.0,100235.0,56274.0,7.24,,7.85,,81.47,y,,0.216,a,,91.4,,120.1,,,1927.37,y,,0.468,,74.7,,,1997.0,3,n,Hrt2000b,wds11322+3615a.png,29756.282034,173.05225,36.2473333333,56274,           ,1635378410781933568,759871936200550528,1905618,2015.0,173.052141059,0.902442632269,36.2471192173,0.734533322061,5.71910662124,0.92991508551,-11.7140737816,0.0554031148528,-31.7214207059,0.0430601330765,0.0162225458771,-0.0626271441579,0.68291079998,0.0135209457949,-0.236467406154,0.0114701408893,0.713645815849,-0.0362854413688,-0.174863651395,-0.0257739126682,85,85,80,85,5,0,1.52901399136,3.41089158234,9352.53991979,True,33.0736808777,0.080457419157,1.99317637453e-05,3,10,False,0.271261870861,0.209634900093,0.149979889393,0.772313416004,-54.5456352234,-2.49844670296,-1.8484762907,-12.9997940063,80,50134678.9913,23331.8095627,6.27442446751,NOT_AVAILABLE,179.525448945,70.8910068617,157.922832943,30.2433282608,9.0772193827e-05
1281,114927.90,-460403.1,11495-4604,FIN 366,,102703.0,57657.0,7.58,,8.75,,67.6,y,13.3,0.237,a,0.056,75.4,4.7,155.1,,4.8,1966.3,y,2.5,0.595,0.097,71.0,16.0,2000.0,2013.0,3,,Tok2014a,wds11495-4604f.png,24690.37272,177.36625,-46.0675277778,57657,           ,1635378410781933568,5377701716368779648,1324135,2015.0,177.365704551,0.445319352223,-46.0675372055,0.208068024712,7.78416013939,0.644592551936,-57.9706474568,0.0284938141796,0.0022267130625,0.0285156343176,0.649054706097,-0.588943243027,0.650275945663,0.209427148104,-0.258396744728,0.432659178972,0.285635322332,-0.380913496017,-0.0743006467819,0.131259262562,300,300,292,297,8,3,2.26824951172,1.56225340247,1446.8625841,True,15.1744375229,0.397290676832,9.21303490031e-06,3,39,True,0.715238392353,0.724566042423,0.550278186798,0.581952571869,-26.6616783142,-23.256980896,-24.1839427948,-22.9526119232,274,22848914.5465,10169.558618,7.12760613025,NOT_AVAILABLE,291.844685717,15.4657649916,200.360245908,-42.331303812,0.000137218794512
1286,115227.18,-140739.2,11525-1408,HDS1676,,103130.0,57894.0,8.08,,9.33,,16.36,y,2.6,0.134,a,0.017,42.8,8.9,313.1,,30.4,2000.45,y,2.32,0.643,0.167,327.3,44.6,2000.0,2013.0,3,,Tok2014a,wds11525-1408f.png,5975.362392,178.11325,-14.1275555556,57894,            ,1635378410781933568,3572320425470668032,1842787,2015.0,178.111940242,0.682011652407,-14.1272567299,0.353289951412,12.2235401225,0.865198675489,-192.294765257,0.0545629177526,44.9983743055,0.0337061371339,-0.551081180573,0.0371191948652,0.517583429813,-0.241614565253,0.00286185415462,-0.286478847265,0.434702515602,0.0315536521375,-0.00269872648641,-0.308109015226,264,264,264,262,0,2,52.6495323181,2.92790622811,4344.94247264,True,28.3950519562,0.113919772208,6.99084512235e-06,3,33,True,0.012679557316,0.729101359844,0.160755321383,0.228687703609,24.3580169678,18.2792434692,31.3896942139,17.2795562744,258,16455528.8831,7374.22133906,7.48399045098,NOT_AVAILABLE,281.984097941,46.3312755597,183.999947307,-13.6885956177,0.000481952289002
1329,122816.79,-614555.2,12283-6146,RST4499BC,,108500.0,60845.0,8.8,,8.8,,28.01,y,0.16,0.229,a,0.003,154.4,3.0,161.5,,8.8,1990.07,y,0.33,0.17,0.009,73.3,6.7,2000.0,2013.0,3,,Tok2014a,wds12283-6146f.png,10230.434022,187.069958333,-61.7653333333,60845,           ,1635378410781933568,6054954733970528768,1115959,2015.0,187.070960533,0.245046878521,-61.7663709666,0.223644375474,20.8210026095,0.346340410234,71.7503793495,0.0405301345643,-158.849634551,0.0475280060672,0.275483816862,0.139340296388,0.205316245556,0.0475380271673,0.176824569702,0.0585866980255,0.182886794209,0.0536870732903,0.0747217088938,0.210219413042,63,63,62,61,1,2,0.0502400510013,0.721836941309,107.420431511,True,7.06719303131,1.89233386517,1.10387345558e-05,3,9,True,0.228097811341,0.27403652668,0.27448540926,0.707393586636,-84.9765701294,-34.2493362427,-59.8617172241,-13.6862735748,76,25486510.3369,20406.1322329,7.00899412613,NOT_AVAILABLE,300.196772321,0.982354188091,220.705097909,-51.7356065114,0.000414577084774
1420,133157.83,-651918.5,13320-6519,FIN 369,,117432.0,66005.0,7.36,,7.54,,24.786,y,0.3,0.176,a,0.012,75.2,2.0,16.6,,2.0,2021.716,y,1.500,0.473,0.06,81.4,5.0,2000.0,2012.0,3,n,Doc2013d,wds13320-6519c.png,9052.8931692,202.990958333,-65.3218055556,66005,           ,1635378410781933568,5863815529497144704,1250021,2015.0,202.989955894,0.512848069858,-65.3218994649,0.651821008098,13.5909528733,0.830917281085,-62.9812892473,0.0293199384872,-12.2713219152,0.0349516002706,0.118154473603,-0.00636497652158,0.729090452194,0.0896530151367,0.45410746336,0.0858440622687,0.78160905838,-0.00108710618224,0.359180957079,0.200696393847,120,120,118,119,2,1,3.08627963066,2.81477080672,7051.31511003,True,27.2992458344,0.119088493288,1.79528287845e-05,3,17,False,0.177216723561,0.188241541386,0.212979018688,0.600550055504,-108.697860718,-60.4440345764,-57.4978599548,-40.0438537598,126,38966135.105,21665.0821278,6.54805173385,NOT_AVAILABLE,307.148361845,-2.78241872963,233.054026117,-50.2481084515,0.000161871518561
1432,133727.70,+361741.4,13375+3618,STF1768AB,8974.0,118623.0,66458.0,4.98,,6.95,,228.0,y,,1.02,a,,147.0,,87.0,,,1864.0,y,,0.8,,159.0,,2000.0,,3,n,Sod1999,wds13375+3618a.png,83275.2216,204.365416667,36.2948333333,66458,           ,1635378410781933568,1472012663889392128,711118,2015.0,204.364628363,0.52252146548,36.2949954692,0.511049317794,18.3873065441,0.993562849133,-94.7623327996,0.0289043703804,23.4871260137,0.0278633473113,0.162050306797,0.261847823858,0.762550354004,0.126066759229,0.32808059454,0.125599041581,0.773477196693,0.199588641524,0.248805508018,0.13834670186,285,285,285,265,0,20,5.42186403275,4.03471211701,13055.5989429,True,39.1174507141,0.0597912445664,6.15574099356e-05,3,36,False,0.547811925411,0.087294921279,0.186074778438,0.433370560408,-31.3233356476,-25.2227134705,45.8901634216,32.7548980713,286,155566693.115,858176.111669,5.04497851384,NOT_AVAILABLE,78.9703254635,76.6098683338,185.41548959,42.4819677598,0.000248954167193
1439,134606.75,+050656.1,13461+0507,STF1781AB,9019.0,119931.0,67186.0,7.89,,8.1,,261.6,y,5.3,0.998,a,0.015,42.1,0.8,0.5,,1.1,1975.93,y,0.12,0.638,0.005,68.9,1.3,2000.0,2006.0,3,n,Alz2007,wds13461+0507a.png,95547.35952,206.528125,5.11558333333,67186,            ,1635378410781933568,3714227553683169664,1039154,2015.0,206.527767631,0.561990194091,5.11547812192,0.316253693064,13.9596151176,0.582879242454,-92.6581689428,0.210525180673,-27.9277977027,0.296053298236,0.466630548239,-0.594965815544,-0.076914422214,0.238234475255,-0.542462348938,0.0372287556529,0.0668338760734,0.139206945896,-0.263637304306,-0.746031463146,111,111,111,102,0,9,11.4271907806,1.55392219273,605.178786953,True,15.0938673019,0.407761365175,7.00425698597e-06,3,13,False,0.425546348095,0.532446146011,0.637782931328,0.838580965996,-41.9018058777,-10.975525856,-5.76734352112,-18.4380760193,109,15962609.2882,345696.341164,7.51701035463,NOT_AVAILABLE,335.965898424,64.4217260846,202.694498119,14.9963791629,3.21289268519e-05
1444,134904.00,+265847.7,13491+2659,STF1785,9031.0,120476.0,67422.0,7.36,v,8.15,v,155.75,y,,2.433,a,,47.4,,155.4,,,1916.75,y,,0.446,,200.0,,2000.0,1987.0,2,n,Hei1988d,wds13491+2659a.png,56886.47265,207.266666667,26.9799166667,67422,           ,1635378410781933568,1451450044104159360,1807817,2015.0,207.264725423,0.549558455954,26.9794659038,0.475401525604,69.7120329833,0.844967710502,-417.207016853,0.042443206469,-100.533578659,0.0348177256695,-0.18186634779,0.258097141981,0.533592641354,-0.104690477252,-0.314025759697,-0.0946973264217,0.575112819672,0.141313880682,-0.192337229848,-0.00343887764029,124,124,124,124,0,0,431.550445557,2.65024374402,4715.60683698,True,25.7057762146,0.142173573375,9.91149863694e-06,3,20,True,0.563373208046,0.203435927629,0.176197499037,0.194771081209,2.40752124786,17.1717948914,-20.6116294861,-36.6120681763,163,23186588.0053,8538.08292387,7.11167795071,NOT_AVAILABLE,35.5606701222,77.1771526624,193.767679519,35.3539893294,3.295779471e-05
1502,142017.60,+483025.1,14203+4830,STF1834,9229.0,125796.0,70066.0,8.09,,8.29,,413.4,y,46.0,1.009,a,0.029,76.1,4.5,287.0,,1.6,1902.6,y,2.1,0.903,0.042,355.8,6.7,2000.0,2013.0,3,n,WSI2015,wds14203+4830o.png,150991.12548,215.073333333,48.5069722222,70066,           ,1635378410781933568,1508162578987186560,783104,2015.0,215.072633596,0.20374204416,48.5069584073,0.279759160688,14.0601893596,0.340325701318,-73.0846292642,0.0396941808619,-12.6129998789,0.0467452374267,-0.032995570451,-0.018656115979,0.247929379344,0.0118889892474,0.688543856144,-0.0191889386624,0.261629372835,-0.0428132377565,0.144401073456,0.21159721911,123,123,123,120,0,3,0.938047528267,0.885267803053,252.151742246,True,8.63814544678,1.24454236031,5.4356801229e-06,3,16,True,0.362722963095,0.0470810569823,0.595150709152,0.366419166327,12.3166303635,44.8140563965,40.5328903198,35.9981269836,134,11364402.1098,15556.4653048,7.88590358363,NOT_AVAILABLE,90.0171971959,62.5520936851,185.408302691,56.9989498559,0.000163726154416
1513,142932.70,-370222.0,14295-3702,"HDS2045Aa,Ab",,126935.0,70868.0,8.57,,8.89,,18.39,y,0.74,0.137,a,0.006,126.9,2.0,160.0,,2.6,2008.92,y,0.06,0.468,0.018,137.3,2.2,2000.0,2014.0,3,,Tok2015c,wds14295-3702o.png,6716.804058,217.38625,-37.0394444444,70868,           ,1635378410781933568,6118388755212188544,499103,2015.0,217.385287005,0.672746287187,-37.0396814202,0.573457364624,13.7946749154,0.798450707376,-117.152004275,0.0544669811195,-34.2828711386,0.0381943491985,0.185843750834,-0.225562125444,0.504529118538,0.118781216443,-0.510197401047,0.0939146354795,0.623482704163,-0.108377739787,-0.322145700455,0.10066537559,85,85,79,84,6,1,2.87458133698,2.30314415326,3335.2401245,True,8.92241001129,0.167639419436,7.98062592366e-06,3,15,False,0.349319040775,0.205624118447,0.450538992882,0.728922843933,-68.296661377,1.89519655704,-13.1436662674,-26.6473846436,119,14210591.6379,6061.03880538,7.64323966499,NOT_AVAILABLE,323.842184639,21.8166862179,227.173026904,-21.0926349227,0.000295918117808
1598,151820.19,+265024.7,15183+2650,STF1932AB,9578.0,136176.0,74893.0,7.32,,7.41,,203.145,y,1.3,1.21,a,0.019,58.56,0.13,63.79,,0.21,1941.484,y,0.024,0.6527,0.0017,51.26,0.24,2000.0,2013.0,2,n,Sca2015b,wds15183+2650p.png,74197.126719,229.584125,26.8401944444,74893,           ,1635378410781933568,1271209611223823232,562202,2015.0,229.584827953,0.186811110129,26.8406631774,0.199768673159,27.2936352157,0.34124766464,92.9674283976,0.0448147814824,70.8585795645,0.0451221193289,0.690936803818,-0.372571498156,0.151668921113,0.116340845823,-0.387471139431,0.0673157125711,0.204703852534,-0.0246036946774,-0.114327408373,-0.358503103256,340,340,338,330,2,10,33.4184761047,1.0211839092,683.224223917,True,9.94776439667,0.946399509907,9.28257486521e-06,3,46,False,0.611965179443,0.647792816162,0.662844419479,0.532113611698,-39.9149627686,-47.8024635315,-44.7120895386,-40.7112312317,373,23071289.5807,13932.242786,7.1170903881,NOT_AVAILABLE,41.0109946362,57.3908433235,217.487756637,43.1946925434,0.000296023412636
1616,152430.97,+372049.5,15245+3723,"STF1938Ba,Bb",9626.0,137392.0,75415.0,7.09,,7.63,,265.0,y,3.0,1.46,a,0.01,135.5,0.5,174.0,,2.0,1864.9,y,0.2,0.585,0.005,338.0,2.0,2000.0,2012.0,2,n,Kiy2014,wds15245+3723p.png,96789.183,231.129041667,37.3470833333,75415,           ,1635378410781933568,1387349065967311744,313533,2015.0,231.12788435,0.180275501047,37.3476751616,0.282043878806,27.2125254832,0.310055609729,-139.392764005,0.0323511159315,88.1999702142,0.0434363328334,0.393539875746,-0.0958487913013,0.218749016523,0.105189055204,-0.675224661827,0.0961702987552,0.235280349851,-0.0198717303574,-0.190206199884,0.145309939981,104,104,104,99,0,5,19.2125148773,0.668289550449,169.940934296,True,6.55384159088,2.2004711628,1.29012360048e-05,3,20,False,0.324865847826,0.475619584322,0.179655298591,0.173863619566,-90.7318725586,-54.3887748718,58.9395217896,22.3528461456,134,29603743.3682,15871.3576132,6.84640348709,NOT_AVAILABLE,60.3407165417,56.3154536964,213.204915972,53.3967468063,0.000406694306253
1638,153309.52,-242925.6,15332-2429,"CHR 232Aa,Ab",9689.0,138488.0,76143.0,7.2,,8.8,,16.503,y,,0.093,a,,124.2,,11.8,,,2011.525,y,,0.416,,322.6,,2000.0,2016.0,3,n,Doc2016e,wds15332-2429i.png,6027.5920266,233.289666667,-24.4904444444,76143,           ,1635378410781933568,6238804588626017920,143888,2015.0,233.289548789,0.997174730599,-24.4905617199,0.3952402534,11.7919494703,0.946342703291,-24.7484258694,0.111144237258,-33.5031381064,0.0552929213556,0.0894764512777,0.763481855392,0.346063494682,0.0240924935788,-0.109177552164,0.0343870297074,0.258386909962,0.304435223341,-0.0511712357402,-0.346418112516,70,70,70,68,0,2,15.1481056213,1.88904739131,1394.19303655,True,18.3360462189,0.274138391018,1.28241026687e-05,3,12,True,0.609584510326,0.525045573711,0.268705099821,0.773322105408,1.77950930595,-14.5389347076,-33.5235939026,-27.246799469,98,26843616.7892,17153.8098354,6.95266748799,NOT_AVAILABLE,343.687041123,25.3078077922,236.892398095,-5.17175860942,2.27041997e-05
1707,161129.76,+094243.2,16115+0943,FIN 354,,145589.0,79337.0,7.19,,7.52,,50.16,y,2.0,0.122,a,0.002,92.2,1.0,82.9,,1.0,2014.57,y,0.57,0.093,0.03,214.7,10.0,2000.0,2009.0,3,n,Doc2013d,wds16115+0943c.png,18320.548752,242.874,9.712,79337,            ,1635378410781933568,4453281749035738752,440165,2015.0,242.874113206,0.573531530091,9.71197591364,0.357472518727,5.13291542255,0.700760250944,25.0429258339,0.038120092105,-11.7469308826,0.0282316598436,0.225601658225,0.221370503306,0.632688164711,0.117808245122,-0.198308601975,0.142478719354,0.528585791588,0.141186282039,-0.110290206969,0.0767520666122,185,185,174,184,11,1,23.9399814606,2.51383018604,7852.87407979,True,24.3847026825,0.149975866079,2.078702164e-05,3,26,False,0.392343014479,0.45126914978,0.463720053434,0.303267538548,-100.444915771,-14.1661252975,-37.001739502,-30.1658039093,213,42346219.9911,17779.8625336,6.45773344041,NOT_AVAILABLE,22.5271459828,39.83845605,238.651972595,30.2467873614,2.58913907668e-05
1721,161949.63,+264638.7,16198+2647,A   225,10007.0,147251.0,79999.0,10.04,,9.79,,43.34,y,1.68,0.129,a,0.003,114.4,1.0,117.5,,1.0,2005.9,y,0.54,0.489,0.038,183.1,2.3,2000.0,2005.0,3,n,Doc2008a,wds16198+2647b.png,15829.596948,244.956791667,26.7774166667,79999,           ,1635378410781933568,1303718218686294144,739113,2015.0,244.956647998,0.46903882726,26.7767866018,0.396192485519,8.34312954673,0.626963801275,-21.2318748556,0.040962068785,-94.4666734936,0.0529179614659,-0.122467666864,-0.374400943518,0.469277024269,-0.0348967351019,-0.044030405581,-0.0647082030773,0.292206019163,-0.182151466608,-0.0319656915963,0.237877726555,70,70,70,69,0,1,10.6559019089,1.62530964906,1950.76280335,True,15.7843046188,0.367653906345,1.59052706294e-05,3,11,True,0.337872177362,0.160866737366,0.201500713825,0.686981260777,-172.365539551,30.6740379333,-41.9320678711,3.37213420868,76,4780188.30688,1637.43530852,8.82615755085,NOT_AVAILABLE,45.0202918791,43.911085337,236.123398088,47.3137360544,0.000239779325281
1729,162253.58,-170108.9,16229-1701,CHR  54,,147473.0,80240.0,7.62,,7.81,,39.89,y,1.21,0.183,a,0.008,101.9,2.1,236.6,,2.7,2011.76,y,1.14,0.634,0.049,306.0,2.8,2000.0,2014.0,3,n,Tok2015c,wds16229-1701o.png,14569.511358,245.72325,-17.0191388889,80240,            ,1635378410781933568,4324906138632040064,758811,2015.0,245.723412235,0.776185345313,-17.01917401,0.357550911979,11.6635514626,0.720068255427,24.0411470244,0.0557338167391,-7.21725807035,0.0370382603176,0.216152191162,0.278827548027,0.593176364899,0.0680688172579,-0.319631189108,0.137024834752,0.374887049198,0.144443556666,-0.107107482851,-0.305788904428,53,53,53,52,0,1,0.163898676634,1.44976708514,482.284456913,True,14.086766243,0.473434090614,1.4231737623e-05,3,8,True,0.319890171289,0.698899328709,0.234206870198,0.0386156663299,-24.1598434448,-10.6868667603,-17.0762634277,-25.219669342,67,31654621.1708,19741.5290078,6.77367726275,NOT_AVAILABLE,358.441627771,22.3524009198,246.774960088,4.48414640268,5.51903820708e-05
1730,162255.97,+380416.3,16229+3803,COU1281,,,,10.1,,10.4,,46.46,y,,0.255,a,,76.2,,26.8,,,2015.38,y,,0.629,,269.0,,2000.0,2008.0,3,n,Doc2012h,wds16229+3803f.png,16969.152612,245.733208333,38.0711944444,-2147483648,3062-1869-1,1635378410781933568,1332038305323870976,1069127,2015.0,245.733195583,0.782928328401,38.0711954936,1.51617028106,8.19775495257,0.585253499278,-8.57047733123,1.27747245792,-3.26912604626,1.19323102253,0.853976964951,0.140751630068,0.39964851737,-0.0175886191428,0.107336357236,0.51141923666,-0.145231828094,0.116771116853,-0.176178336143,0.305854052305,125,125,90,119,35,6,,2.07281509344,2458.65741867,True,20.1147174835,0.223228245974,1.93996038433e-05,5,19,False,0.399593025446,0.865716934204,0.251872420311,0.574002683163,-74.3009567261,-62.7024726868,43.4559364319,30.0099849701,141,1922131.88982,1102.23583983,9.81531210362,NOT_AVAILABLE,60.8176234302,44.7540676915,231.936638938,58.3462614549,2.95686776341e-05
1741,162852.67,+182450.6,16289+1825,STF2052AB,10075.0,148653.0,80725.0,7.69,,7.91,,230.06,y,,2.245,a,,108.4,,93.9,,,1921.12,y,,0.758,,130.8,,2000.0,2014.0,2,n,Sca2015c,wds16289+1825o.png,84027.620532,247.219458333,18.4140555556,80725,            ,1635378410781933568,4467355154275146112,903703,2015.0,247.217890468,0.150752425579,18.4156527379,0.192183397304,51.5259356148,0.248537867438,-350.218032483,0.0773203196274,384.389185559,0.061560591644,0.355211496353,-0.0572592131793,0.0862163305283,0.0370722003281,-0.464338421822,0.0568249113858,0.0886559709907,0.00485152006149,-0.0808322131634,-0.436794251204,113,113,113,111,0,2,25.8340778351,0.444528983596,85.4493204579,True,4.42293119431,4.70479536057,8.66610025696e-06,3,18,True,0.592081069946,0.421657770872,0.371308982372,0.356665015221,-83.3975296021,-53.0239868164,-50.4124641418,41.6331062317,148,18861424.5569,7596.94434839,7.33583383676,NOT_AVAILABLE,35.0898257004,39.5015175377,241.50930406,39.6282056195,2.86783157002e-05
1785,165625.32,+650220.6,16564+6502,STF2118AB,10279.0,153697.0,82898.0,7.07,,7.3,,422.22,y,,1.044,a,,96.0,,68.3,,,1838.91,y,,0.143,,216.2,,2000.0,2000.0,3,n,Sca2002d,wds16564+6502a.png,154212.561684,254.1055,65.0390555556,82898,           ,1635378410781933568,1635371023440498432,693843,2015.0,254.104970331,0.236574821622,65.0392721572,0.750946173175,15.3900149472,0.308790486359,-32.673523657,0.0392233045535,34.5554909911,0.0558560296677,-0.579873144627,0.223627224565,0.270581275225,-0.311973631382,0.59736764431,-0.149477422237,0.557880342007,0.0119042806327,0.32003480196,-0.0526981912553,341,341,341,320,0,21,75.7713394165,0.823308401644,343.65317375,True,8.04196929932,1.42436397076,1.06065199361e-05,3,50,True,0.880769133568,0.956830620766,0.841524958611,0.950631022453,70.445854187,70.3682479858,-51.1190719604,-20.666223526,398,25440793.9941,10697.1271175,7.0109434106,NOT_AVAILABLE,95.5505554854,36.4460489549,185.803890246,83.3288781735,0.000113617377799
1798,165822.85,+394236.8,16584+3943,COU1289,,153527.0,83064.0,8.4,,8.4,,16.09,y,,0.075,a,,113.0,,63.2,,,2001.07,y,,0.753,,154.3,,2000.0,2010.0,3,n,Doc2013e,wds16584+3943b.png,5876.746998,254.595208333,39.7102222222,83064,           ,1635378410781933568,1352174829998417536,1034087,2015.0,254.59538217,0.270820490728,39.7094334333,0.22416655344,7.57577351402,0.271277898334,22.5677863448,0.0495029028323,-119.943748997,0.0545089271258,0.0836795419455,0.0911728814244,0.236562997103,-0.00231215404347,-0.1778562814,0.0144955934957,0.13870935142,-0.00870250910521,-0.0344015471637,0.0444115400314,52,52,52,52,0,0,20.9966449738,0.54956119412,127.015305868,True,5.41943883896,2.85437345505,4.30506634075e-06,3,8,True,0.5685069561,0.210393399,0.411299049854,0.632126331329,-148.203384399,-11.9708814621,-51.4729537964,20.6944541931,67,10985292.9829,6297.74616516,7.92274095322,NOT_AVAILABLE,63.6434382454,37.9910439152,244.389898906,61.7860376432,0.000291736923897
1809,170636.18,+003907.9,17066+0039,"TOK  52Ba,Bb",10341.0,154621.0,83716.0,10.6,,10.5,,7.0,y,0.7,0.069,a,0.004,13.7,16.0,56.7,,111.0,2012.94,y,0.10,0.43,0.032,130.0,119.0,2000.0,2013.0,3,n,Tok2014a,wds17066+0039f.png,2556.6954,256.65075,0.652194444444,83716,            ,1635378410781933568,4381580671648004736,1962591,2015.0,256.650688666,0.597323135102,0.652152182943,0.614457519499,18.0564870513,0.837236013986,-9.59317274418,0.0900383428257,-8.481547882,0.06420422621,-0.593885660172,0.404674649239,0.224523991346,-0.210128039122,-0.701508045197,-0.169460535049,0.347146630287,0.14528645575,-0.272089868784,-0.211222812533,45,45,45,43,0,2,45.6051750183,1.41616043423,861.656171099,True,13.7618904114,0.495484352112,3.36260309268e-05,3,6,True,0.217871397734,0.51597827673,0.165178745985,0.511800885201,-39.014793396,32.6867980957,-36.1322937012,42.558719635,50,6485299.04021,106672.969456,8.49494504782,NOT_AVAILABLE,20.8984369332,23.46707403,255.427948568,23.4186723871,2.2451744841e-05
1838,171534.66,-101750.9,17156-1018,BU  957,10421.0,156023.0,84423.0,7.51,,9.69,,90.33,y,1.52,0.296,a,0.013,102.0,4.6,23.0,,2.1,1934.61,y,2.41,0.554,0.067,7.0,11.3,2000.0,2014.0,3,n,Tok2015c,wds17156-1018o.png,32992.327926,258.894416667,-10.2974722222,84423,            ,1635378410781933568,4143224830124509568,1614522,2015.0,258.89435004,0.523939157541,-10.2974072156,0.463015779006,7.77798184283,0.698536826825,-10.7115078526,0.065004586164,13.228706227,0.0424959108186,0.30683735013,-0.615235626698,0.340750902891,0.123814359307,-0.59724354744,0.102063283324,0.443913251162,-0.226372212172,-0.2606793046,0.1538195014,49,49,49,48,0,1,30.0369205475,1.3107114898,187.8517924,True,12.7427911758,0.578971743584,9.62583180808e-06,3,7,False,0.523161530495,0.13199993968,0.545905888081,0.839074254036,-127.703598022,17.4928741455,-18.1761436462,-42.4829673767,53,21801091.0779,14325.5723981,7.1785744907,NOT_AVAILABLE,12.1433691494,15.9121232796,258.797491305,12.7110392356,2.31404509772e-05
