,ra_str,dec_str,WDS,DD,ADS,HD,HIP,V1,V1_err,V2,V2_err,period,period_units,eee.eeeeee,AAA.AAAAA,*,ee.eeeee,III.IIII,eee.eeee,NNN.NNNN,*.1,eee.eeee.1,TTTTT.TTTTTT,*.2,eee.eeeeee.1,E.EEEEEE,e.eeeeee,OOO.OOOO,eee.eeee.2,EQNX,LAST,G,N,REF,PNGFILE,period_days,ra,dec,tgas_hip,tgas_tycho2_id,tgas_solution_id,tgas_source_id,tgas_random_index,tgas_ref_epoch,tgas_ra,tgas_ra_error,tgas_dec,tgas_dec_error,tgas_parallax,tgas_parallax_error,tgas_pmra,tgas_pmra_error,tgas_pmdec,tgas_pmdec_error,tgas_ra_dec_corr,tgas_ra_parallax_corr,tgas_ra_pmra_corr,tgas_ra_pmdec_corr,tgas_dec_parallax_corr,tgas_dec_pmra_corr,tgas_dec_pmdec_corr,tgas_parallax_pmra_corr,tgas_parallax_pmdec_corr,tgas_pmra_pmdec_corr,tgas_astrometric_n_obs_al,tgas_astrometric_n_obs_ac,tgas_astrometric_n_good_obs_al,tgas_astrometric_n_good_obs_ac,tgas_astrometric_n_bad_obs_al,tgas_astrometric_n_bad_obs_ac,tgas_astrometric_delta_q,tgas_astrometric_excess_noise,tgas_astrometric_excess_noise_sig,tgas_astrometric_primary_flag,tgas_astrometric_relegation_factor,tgas_astrometric_weight_al,tgas_astrometric_weight_ac,tgas_astrometric_priors_used,tgas_matched_observations,tgas_duplicated_source,tgas_scan_direction_strength_k1,tgas_scan_direction_strength_k2,tgas_scan_direction_strength_k3,tgas_scan_direction_strength_k4,tgas_scan_direction_mean_k1,tgas_scan_direction_mean_k2,tgas_scan_direction_mean_k3,tgas_scan_direction_mean_k4,tgas_phot_g_n_obs,tgas_phot_g_mean_flux,tgas_phot_g_mean_flux_error,tgas_phot_g_mean_mag,tgas_phot_variable_flag,tgas_l,tgas_b,tgas_ecl_lon,tgas_ecl_lat,tgas_match_distance
967,081308.47,-135500.8,08132-1354,HU  115,6664.0,,40239.0,10.18,,10.44,,62.9,y,,0.87,a,,51.0,,142.0,,,1998.7,y,,0.68,,167.0,,2000.0,,3,n,Sod1999,wds08132-1354a.png,22973.73438,123.285291667,-13.9168888889,40239,           ,1635378410781933568,5726415883567046144,1038740,2015.0,123.284226643,0.46106476395,-13.9188034506,0.680063374465,48.2484285643,0.870870182317,-242.204011249,0.268185716751,-455.835127454,0.354744322695,-0.502630650997,-0.446968793869,0.0164683945477,-0.0464538112283,0.71992623806,-0.0111043844372,0.11231661588,0.0550886318088,0.0363260395825,-0.660829782486,48,48,48,39,0,9,135.788696289,1.426086946,525.920720669,True,13.8578462601,0.489804953337,2.22384387598e-05,3,11,False,0.484300583601,0.313496291637,0.335682630539,0.92747682333,-157.397232056,57.0414276123,38.358089447,-15.1287307739,76,4009988.40819,39738.0345844,9.01691227086,NOT_AVAILABLE,234.987711789,11.0567016072,129.387931936,-32.9193831607,2.89165862984e-05
984,082639.82,+243203.7,08267+2432,A  1746BC,6811.0,71153.0,41389.0,8.5,,8.5,,21.78,y,0.2,0.149,a,0.001,19.1,1.0,153.6,,5.0,1998.42,y,0.30,0.079,0.009,51.0,10.0,2000.0,1999.0,1,n,Doc2009g,wds08267+2432k.png,7954.975116,126.665916667,24.5343611111,41389,           ,1635378410781933568,678725504169170816,96497,2015.0,126.665599088,0.420904255766,24.5338462937,0.275836752365,14.7207867132,0.526622625734,-43.048609707,0.0570228070714,-78.4980044548,0.0349310820118,-0.671070992947,-0.463179379702,0.300298213959,-0.232238993049,0.366786777973,-0.216827765107,0.325117588043,-0.126196280122,0.121161021292,-0.21496526897,162,162,162,158,0,4,2.31214785576,1.41321704626,427.644705274,True,13.7334384918,0.499076843262,1.25822289192e-05,3,42,False,0.180589750409,0.667187809944,0.0822020843625,0.439545363188,-179.166946411,28.8930454254,11.9883880615,41.1355438232,228,28440440.6205,9606.63955749,6.88992926253,NOT_AVAILABLE,199.282840056,31.0738581107,123.057463879,5.20406085001,0.000217360313349
1069,091904.43,-412805.6,09191-4128,CHR 239,,80542.0,45705.0,7.5,,8.8,,10.86,y,0.02,0.122,a,0.001,147.0,1.3,332.6,,2.3,2013.51,y,0.02,0.394,0.006,260.1,1.9,2000.0,2013.0,3,n,Tok2014a,wds09191-4128f.png,3966.530292,139.768458333,-41.4682222222,45705,           ,1635378410781933568,5427666170431945088,1547500,2015.0,139.768305656,0.553993688165,-41.4683198042,0.694931216077,15.3017253366,0.743678107361,-18.757030908,0.0562641026365,-14.548055821,0.0612414463545,-0.118368715048,0.0422903783619,0.4023014009,-0.0538258440793,0.0925004184246,-0.0417713075876,0.474437385798,0.0335801839828,0.0478400886059,0.098128862679,87,87,87,87,0,0,521.668762207,2.76052671435,1198.5477879,True,10.6738834381,0.130916506052,6.59942179482e-06,3,17,False,0.371609300375,0.250716000795,0.22749325633,0.535079836845,-115.147094727,74.8862762451,-15.4820070267,-35.6504592896,126,12960171.9446,5776.39731626,7.74324315528,NOT_AVAILABLE,265.912745676,5.65509500317,162.476765509,-53.1372598206,5.17735943607e-05
1070,091924.66,-773836.4,09194-7739,"KOH  83Aa,Ab",,81485.0,45734.0,7.4,k,7.8,k,19.84,y,,0.146,a,,65.0,,20.2,,,1999.0,y,,0.795,,276.2,,2000.0,2014.0,3,n,Tok2015c,wds09194-7739o.png,7246.405248,139.85275,-77.6434444444,45734,           ,1635378410781933568,5203285602736293376,1481256,2015.0,139.85066289,0.321450943554,-77.6431449976,0.460627107188,13.8707635436,0.411645810443,-108.301696758,0.051833626001,69.4481379843,0.0578482725136,0.0487406775355,0.00495937513188,0.233207762241,0.0243373177946,0.385355949402,0.0376645028591,0.317283719778,0.0462402068079,0.125140473247,-0.0667260661721,84,84,83,82,1,2,13.624838829,1.39594454255,1053.45027839,True,5.46608638763,0.466246426105,6.92972025718e-06,3,14,False,0.260410219431,0.208215847611,0.282912373543,0.217436432838,53.6565666199,-85.4109802246,40.7453765869,30.6376056671,111,9139212.88651,11176.2472941,8.12249807937,NOT_AVAILABLE,292.496542237,-19.318776833,238.018799808,-72.010662933,1.10862903897e-05
1082,092731.80,-580540.3,09275-5806,CHR 240,,82082.0,46388.0,7.2,,8.4,,2.621,y,0.025,0.0478,a,0.0018,111.4,2.3,267.4,,2.3,2014.453,y,0.049,0.173,0.029,125.6,6.6,2000.0,2014.0,3,n,Tok2015c,wds09275-5806o.png,957.2998062,141.8825,-58.0945277778,46388,           ,1635378410781933568,5306416666685478656,853314,2015.0,141.880677879,0.277341072266,-58.0945812083,0.28077974148,18.2909043438,0.29291079696,-145.003498454,0.0375659639962,-6.58528780771,0.0357119539698,-0.361782640219,-0.407225340605,0.296748578548,-0.107177935541,-0.054990593344,-0.0889308303595,0.334497153759,-0.0901448726654,-0.00454025249928,-0.0881943106651,238,238,238,236,0,2,14.6789608002,1.33049798628,1861.76153068,True,12.9339799881,0.543533086777,1.07383175418e-05,3,32,True,0.389396548271,0.452994734049,0.551428556442,0.640752077103,36.2187271118,51.1114730835,50.1483573914,-42.5961608887,256,25558492.4641,7884.27516663,7.00593197903,NOT_AVAILABLE,278.581160137,-5.21783343312,185.269357701,-65.3190775588,0.000359784393844
1089,093241.41,+015151.3,09327+0152,FIN 349,,82543.0,46840.0,6.87,,7.12,,40.57,y,0.19,0.154,a,0.001,54.7,0.6,318.6,,0.6,1972.12,y,0.16,0.42,0.009,72.6,0.8,2000.0,2014.0,2,n,Tok2015c,wds09327+0152o.png,14817.876054,143.172541667,1.86425,46840,            ,1635378410781933568,3841515472206048128,823123,2015.0,143.172374629,0.454283661087,1.86400341839,0.52535005012,7.26538343239,0.51286445923,-23.1323642677,0.0446706307567,-35.6854468468,0.0404346171663,-0.280911386013,0.13166809082,0.417447984219,-0.152983427048,-0.000988521031104,-0.119091965258,0.541971921921,0.0759152770042,-0.00195961841382,-0.167989581823,53,53,53,51,0,2,23.7392864227,1.57791541117,1968.73244624,True,15.3259077072,0.40112555027,3.18459096889e-05,3,8,False,0.0411802344024,0.317508816719,0.127990022302,0.969896018505,134.345428467,59.113117218,-34.7282943726,-27.1880912781,66,71439921.1437,73016.6363816,5.88991764759,NOT_AVAILABLE,232.165499468,36.1793765444,144.884078735,-12.0322319759,0.000120673958905
1104,094436.62,+645902.6,09446+6459,CHR 176,,83962.0,47791.0,6.2,,,,21.724,y,,0.1152,a,,74.4,,25.5,,,2000.621,y,,0.351,,262.3,,2000.0,2005.0,3,,Cve2016b,wds09446+6459i.png,7934.5215528,146.152583333,64.9840555556,47791,           ,1635378410781933568,1064771046068434304,618574,2015.0,146.151753979,0.316805759369,64.9841906569,0.487235218103,9.39154348242,0.524255981368,-54.4887258479,0.0188567614211,18.9265257095,0.0248616004285,0.61788970232,-0.460085630417,0.702611923218,0.511634647846,-0.496935337782,0.437509715557,0.8249386549,-0.321446478367,-0.411537617445,0.469265192747,176,176,175,172,1,4,3.12024283409,1.7569344475,1825.51306859,True,17.0576496124,0.318091571331,2.68492312898e-05,3,23,False,0.183950543404,0.573925852776,0.0978702008724,0.493784099817,-88.8843307495,-65.043258667,58.6538124084,25.8305015564,198,60480746.0929,41730.1565504,6.07072721384,NOT_AVAILABLE,147.467439071,42.1657572266,121.346694742,47.5378585181,0.000135859124292
1124,100501.86,-511849.1,10050-5119,HU 1594,,87652.0,49394.0,6.81,,7.16,,134.51,y,3.76,0.281,a,0.009,64.4,3.3,87.3,,1.6,2028.97,y,2.28,0.629,0.033,21.0,4.6,2000.0,2014.0,3,n,Tok2015c,wds10050-5119o.png,49128.728322,151.25775,-51.3136388889,49394,           ,1635378410781933568,5405104157470247040,330784,2015.0,151.257441983,0.554358231832,-51.3135701739,0.513490230877,5.53730520415,0.530000218627,-30.5286049248,0.0387164843928,11.8518277286,0.0345449599664,-0.564231455326,-0.358176618814,0.596113860607,-0.351937681437,-0.0694836527109,-0.332160621881,0.627585053444,-0.203969553113,-0.0341585129499,-0.297897458076,154,154,154,153,0,1,14.8580217361,2.25753261313,3847.29493717,True,21.9029788971,0.189685732126,2.20254732994e-05,3,23,False,0.411492526531,0.650071442127,0.57260376215,0.748628377914,13.8352327347,44.0306816101,43.0461845398,37.8339500427,180,51230997.4114,25249.2866253,6.25093803585,NOT_AVAILABLE,278.36478352,3.44275910759,183.625455661,-56.6917607176,6.81263532095e-05
1193,105256.71,-171638.3,10529-1717,HDS1556,,94310.0,53206.0,7.96,,8.07,,14.93,y,0.26,0.173,a,0.028,99.2,3.6,110.5,,2.1,2002.74,y,1.39,0.544,0.056,51.4,17.3,2000.0,2014.0,3,n,Tok2015c,wds10529-1717o.png,5453.066046,163.236291667,-17.2773055556,53206,            ,1635378410781933568,3556133690163715840,1715209,2015.0,163.235090707,0.301883876564,-17.2768191571,0.212873525305,25.8164080098,0.380034636871,-176.231590495,0.0512342134778,75.1785239089,0.0284373975823,-0.190047055483,-0.354263603687,0.232626497746,-0.0408938415349,-0.337008118629,-0.0299481488764,0.324481904507,-0.0593406669796,-0.114260263741,-0.0265874546021,114,114,114,114,0,0,8.50486183167,0.951333733136,259.550406904,True,9.2744512558,1.04887712002,1.07390887933e-05,3,16,False,0.437713056803,0.476838946342,0.422993510962,0.0975146368146,-0.976183235645,21.1661071777,15.5633821487,-33.8043708801,121,27824992.3788,10498.3332833,6.91368242871,NOT_AVAILABLE,266.642519062,37.1083733221,171.627214906,-22.4602110549,0.000447345031786
1208,110123.29,-120334.1,11014-1204,HDS1572,,95502.0,53879.0,8.27,,9.87,,18.64,y,0.72,0.173,a,0.003,98.7,0.8,142.4,,0.4,2013.69,y,0.03,0.686,0.013,133.8,1.5,2000.0,2014.0,3,,Tok2015c,wds11014-1204o.png,6808.114608,165.347041667,-12.0594722222,53879,            ,1635378410781933568,3756763191792104576,1321544,2015.0,165.345867527,0.722691206471,-12.0595101194,0.505086645052,19.8660592086,0.855563076322,-176.232260619,0.0564638432952,-5.8367420821,0.0512213253613,-0.472520887852,0.00649681128561,0.530219256878,-0.188912451267,-0.159723564982,-0.250915765762,0.420362055302,0.0154307447374,-0.0643161162734,-0.406286358833,103,103,103,103,0,0,50.8235244751,2.49475128188,1127.35654361,True,9.65572834015,0.158736169338,4.80408834846e-06,3,13,False,0.487510114908,0.587013363838,0.379598855972,0.137899458408,22.2509689331,25.5582675934,22.8135528564,41.2212333679,108,13689564.2881,4915.35458863,7.6837959998,NOT_AVAILABLE,265.085153106,42.5819622098,171.353141636,-16.8637865272,0.000414149190745
