,dec,ra,Seq,N,RAJ2000,DEJ2000,Comp,mag1,n_mag1,mag2,n_mag2,Sp1,Sp2,Name,Simbad,N.1,o,Per,f_Per,e_Per,e,f_e,e_e,K1,K2,V0,rms1,rms2,Grade,Ref,Details,tgas_hip,tgas_tycho2_id,tgas_solution_id,tgas_source_id,tgas_random_index,tgas_ref_epoch,tgas_ra,tgas_ra_error,tgas_dec,tgas_dec_error,tgas_parallax,tgas_parallax_error,tgas_pmra,tgas_pmra_error,tgas_pmdec,tgas_pmdec_error,tgas_ra_dec_corr,tgas_ra_parallax_corr,tgas_ra_pmra_corr,tgas_ra_pmdec_corr,tgas_dec_parallax_corr,tgas_dec_pmra_corr,tgas_dec_pmdec_corr,tgas_parallax_pmra_corr,tgas_parallax_pmdec_corr,tgas_pmra_pmdec_corr,tgas_astrometric_n_obs_al,tgas_astrometric_n_obs_ac,tgas_astrometric_n_good_obs_al,tgas_astrometric_n_good_obs_ac,tgas_astrometric_n_bad_obs_al,tgas_astrometric_n_bad_obs_ac,tgas_astrometric_delta_q,tgas_astrometric_excess_noise,tgas_astrometric_excess_noise_sig,tgas_astrometric_primary_flag,tgas_astrometric_relegation_factor,tgas_astrometric_weight_al,tgas_astrometric_weight_ac,tgas_astrometric_priors_used,tgas_matched_observations,tgas_duplicated_source,tgas_scan_direction_strength_k1,tgas_scan_direction_strength_k2,tgas_scan_direction_strength_k3,tgas_scan_direction_strength_k4,tgas_scan_direction_mean_k1,tgas_scan_direction_mean_k2,tgas_scan_direction_mean_k3,tgas_scan_direction_mean_k4,tgas_phot_g_n_obs,tgas_phot_g_mean_flux,tgas_phot_g_mean_flux_error,tgas_phot_g_mean_mag,tgas_phot_variable_flag,tgas_l,tgas_b,tgas_ecl_lon,tgas_ecl_lat,tgas_match_distance
456,24.60017,99.88117,412,N,06 39 31.48,+24 36 00.6,     , 6.360,V,      , ,F8IV            ,F5V       ,HIP 31850                    ,Simbad,N,1,5.6983, ,            ,0.0, ,      ,  43.90,  52.30,  30.20,       ,       ,3.0,1983A&AS...52..293N                                ,Details,31850,            ,1635378410781933568,3383000534807547008,1210703,2015.0,99.8812666763,0.336382765191,24.6005421296,0.424605414086,28.2955283179,0.497335110553,19.2562956917,0.0378228342989,90.8126822102,0.0275739146766,-0.358852922916,0.0963976457715,0.360514730215,-0.230597734451,-0.714523017406,-0.139494299889,0.638644874096,0.0446240268648,-0.459948152304,-0.0982542335987,76,76,76,75,0,1,4.66590070724,1.14947130247,307.171376911,True,11.1855335236,0.744495272636,2.19694811676e-05,3,10,False,0.487592220306,0.438861697912,0.694621801376,0.913615584373,-98.9808883667,37.3735466003,-22.323343277,-40.9508705139,75,50707868.7932,57100.1846943,6.26208166904,NOT_AVAILABLE,189.579508574,8.49817637422,98.9795614664,1.46874821105,9.89558623334e-06
465,47.67339,102.82696,421,N,06 51 18.47,+47 40 24.2,     ,10.160,V,10.900,V,G8V             ,          ,HIP 32900                    ,Simbad,N,1,9.8154, ,            ,0.0, ,      ,  59.50,  60.90,  27.00,       ,       ,4.0,1986AJ.....91..383P                                ,Details,32900,           ,1635378410781933568,954726768399366016,1785895,2015.0,102.827014049,0.225464756635,47.6733534355,0.327494087914,7.52963038397,0.282109296421,4.55867956389,0.12371251838,-7.03178680052,0.080790829367,-0.538906991482,0.204371407628,-0.0320687480271,-0.0738083124161,-0.550820887089,-0.029903691262,0.109000623226,0.0686435699463,-0.0618722997606,0.103499285877,42,42,42,42,0,0,0.300989329815,0.449356533268,201.588452232,True,4.46852064133,4.50069761276,1.67932739714e-05,3,5,False,0.482272177935,0.572163522243,0.350255191326,0.935629844666,-100.815498352,55.4990653992,-18.0239925385,-39.0540618896,41,1848175.42644,2035.1551231,9.85791208505,NOT_AVAILABLE,168.585874158,19.6806598765,99.4673602404,24.654756489,1.88556170394e-05
472,0.91678,104.88229,428,N,06 59 31.75,+00 55 00.4,     , 7.510,V,      , ,F8Ib:           ,:         ,HIP 33657                    ,Simbad,N,1,107.4, ,            ,0.0, ,      ,   5.20,       ,  -0.30,       ,       ,3.0,1983A&A...124..256B                                ,Details,33657,           ,1635378410781933568,3113831154794798592,1113836,2015.0,104.882295396,0.158740929436,0.916750940673,0.194648173431,0.946989605817,0.246521301185,1.22257954968,0.0696167403833,-4.08233638572,0.0484893204139,-0.103981077671,-0.0291061718017,0.0674713179469,0.0125191714615,-0.682806670666,-0.020142653957,0.112162098289,0.0490735061467,-0.0998748019338,-0.140411347151,71,71,68,70,3,1,0.213360160589,0.343360782607,82.3460761016,True,3.47487235069,7.62672185898,7.74330601416e-06,3,9,False,0.510845899582,0.224519401789,0.565198898315,0.849558413029,-81.7684936523,29.9971866608,-26.14320755,-41.5681495667,77,20857525.4684,12197.6833456,7.22661310745,NOT_AVAILABLE,213.038198459,2.21823707758,106.04448268,-21.6974334686,1.20533581708e-05
477,-5.73764,105.82621,432,N,07 03 18.29,-05 44 15.5,     , 9.600,V,10.100, ,K0IV            ,(F6)      ,HIP 34003                    ,Simbad,N,1,6.0506, ,            ,0.03, ,0.0160,  76.40,  85.70,  19.20,       ,       ,3.0,1978A&AS...33..323I                                ,Details,34003,           ,1635378410781933568,3053264110104573184,1797392,2015.0,105.826220005,0.373080265283,-5.73760562293,0.298723823606,3.91160582834,0.524635391048,3.81248730422,0.0707782837783,9.51525476001,0.0546147750573,-0.877787947655,0.774540185928,0.138449177146,-0.207981422544,-0.598904490471,-0.173289045691,0.187171235681,0.149544686079,-0.154226303101,-0.282838761806,125,125,125,121,0,4,1.1618219614,0.64754082551,224.893276184,True,6.35517263412,2.2492249012,1.85129301826e-05,3,20,True,0.940665960312,0.85061532259,0.871710419655,0.944668889046,42.2586402893,45.7604179382,47.9733123779,-42.6724891663,164,2879579.57804,52869.3384124,9.37644735162,NOT_AVAILABLE,219.388855923,0.0140770885933,107.93228073,-28.1969968377,7.93392280356e-06
480,25.72864,107.39746,435,N,07 09 35.39,+25 43 43.1,A    , 7.090,V,      , ,G8V             ,          ,HIP 34567                    ,Simbad,N,1,32.8066, ,            ,0.0, ,      ,  26.70,       ,  19.80,       ,       ,4.0,1985PASP...97..355B                                ,Details,34567,           ,1635378410781933568,882872206055476736,387668,2015.0,107.396877528,0.201105863336,25.7279180263,0.247714416246,37.9282030919,0.291361535684,-124.672933984,0.0393963640848,-175.258257976,0.0247913922864,-0.531433582306,0.459555953741,0.16031844914,-0.219099611044,-0.740624427795,-0.11328189075,0.394180804491,0.098674505949,-0.31255877018,-0.139050260186,54,54,54,53,0,1,15.8744735718,0.430385265325,98.4121213737,True,4.28951072693,5.18821573257,1.09502143459e-05,3,8,False,0.422460913658,0.348476409912,0.597760498524,0.95806068182,-87.8133239746,39.4378128052,-27.4996757507,-41.5727806091,68,29104975.936,18114.9725352,6.86485195247,NOT_AVAILABLE,191.426553233,15.1512923915,105.651011191,3.22892277691,9.79927456118e-06
482,21.24697,107.52783,437,N,07 10 06.68,+21 14 49.1,     , 6.430,V,      , ,G8V             ,          ,HIP 34608                    ,Simbad,N,1,113.346, ,            ,0.4, ,      ,  20.80,       ,  -2.80,       ,       ,3.0,1985PASP...97..355B                                ,Details,34608,            ,1635378410781933568,3366718829183492352,1166298,2015.0,107.527047789,0.672902469372,21.24501161,0.816970120122,27.4645763212,0.769510091943,-174.594370644,0.035727662944,-473.499230917,0.0364382667661,-0.660770773888,0.257976919413,0.789915919304,-0.623340189457,-0.647974193096,-0.52650809288,0.941783607006,0.207029685378,-0.61106801033,-0.479683339596,49,49,49,48,0,1,1.00519812107,1.62640078973,620.323747248,True,15.7948589325,0.377527326345,2.72596807918e-05,3,9,False,0.503790736198,0.672313988209,0.601810634136,0.934893429279,-118.41191864,43.2993049622,-21.3959465027,-43.2138137817,57,59024890.5449,50649.8292003,6.09718208784,NOT_AVAILABLE,195.712106026,13.4578052821,106.305082878,-1.20765572944,1.46085991647e-05
483,15.36586,108.45083,438,N,07 13 48.20,+15 21 57.1,     , 8.970, ,      , ,K5III           ,          ,BD +15 1512                  ,Simbad,N,1,647.1, ,            ,0.19, ,      ,  13.20,  15.10,  29.70,       ,       ,3.0,1986Obs...106..108G                                ,Details,-2147483648,1346-794-1 ,1635378410781933568,3167694958128183552,1114568,2015.0,108.450854234,2.36024024587,15.3658238566,2.68473487058,0.41229775065,0.336366100365,1.13588930936,0.84423991793,-8.74828442692,1.04038586641,-0.99080902338,0.0719682276249,0.547162890434,0.71741104126,-0.118328206241,-0.559338212013,-0.751209318638,0.147138699889,-0.0256795417517,0.0356398932636,35,35,35,34,0,1,,0.56206598247,191.793770029,True,2.38363909721,3.03347754478,9.3531461971e-06,5,6,False,0.537561357021,0.97430485487,0.496590137482,0.899114847183,-139.111022949,43.4225273132,-19.4024448395,43.3549919128,40,12008559.4945,24762.8018909,7.8260427787,NOT_AVAILABLE,201.561319841,11.7968121033,107.904207912,-6.93399996074,1.86378475211e-05
486,-16.71669,109.08004,441,N,07 16 19.21,-16 43 00.1,     , 7.900, ,      , ,A0m             ,          ,HIP 35187                    ,Simbad,N,1,4.8009, ,            ,0.0, ,      ,  96.80, 106.40,  29.30,       ,       ,4.0,1985AJ.....90.1324P                                ,Details,35187,           ,1635378410781933568,2934917591929465088,1570907,2015.0,109.080000007,0.225620941908,-16.7167379688,0.230411404061,3.36026279418,0.311473454189,-5.5966458244,0.0484025351582,-10.8873920253,0.0499342878242,-0.54139572382,-0.0414789877832,0.184351488948,-0.0928403586149,-0.0649019628763,-0.0963421016932,0.172349110246,0.00918725226074,-0.0277357567102,-0.502903938293,178,178,178,172,0,6,4.47881937027,0.960235995492,257.503391441,True,9.36023426056,1.06109833717,7.44025737731e-06,3,22,False,0.589009940624,0.552201926708,0.187736779451,0.192782104015,-123.908424377,46.0817680359,-20.7193584442,33.2595825195,168,10593335.9445,18615.1595346,7.96218820083,NOT_AVAILABLE,230.602584614,-2.22362265315,113.617002398,-38.6045782314,1.52084001965e-05
491,-16.39525,109.86742,446,N,07 19 28.18,-16 23 42.9,     , 5.740,V, 6.330,V,F1V             ,G8IV-V    ,HIP 35487                    ,Simbad,N,1,1.1359, ,            ,0.0, ,      ,  29.30, 186.00, -32.70,       ,       ,4.0,1985ApJ...297..250T                                ,Details,35487,           ,1635378410781933568,3030977009410785280,2005408,2015.0,109.868130187,0.380305452018,-16.3958271376,0.392215060554,23.3014952136,0.592825533241,163.457272921,0.0281469787419,-138.609457486,0.0263159494376,-0.382033586502,0.0997170656919,0.565609514713,-0.237446218729,-0.10355553031,-0.214995995164,0.623824119568,0.0616217292845,-0.0688581988215,-0.324328482151,148,148,148,148,0,0,66.539604187,2.03979378704,2148.43038186,True,19.7950763702,0.236319556832,4.17374394601e-05,3,19,False,0.573616087437,0.38876953721,0.222642466426,0.079416513443,-118.752830505,47.5555648804,-30.7882118225,42.9134559631,139,89321014.3161,425490.584692,5.64738594831,NOT_AVAILABLE,230.67120844,-1.40570563216,114.497598001,-38.1604931292,4.65552593968e-07
492,16.72206,110.36629,447,N,07 21 27.91,+16 43 19.4,     , 8.530,V,      , ,K2III           ,          ,HIP 35658                    ,Simbad,N,1,2648.0, ,            ,0.29, ,      ,   8.90,       ,   0.80,       ,       ,3.0,1983Obs...103..252G                                ,Details,35658,           ,1635378410781933568,3169717406687824000,491708,2015.0,110.366279363,0.27460161533,16.7219927984,0.297703278254,1.80571703474,0.308055211778,3.68694594149,0.0689782174217,-15.2943619843,0.0421204051744,-0.628670156002,0.374867230654,0.140152037144,-0.16134659946,-0.632222414017,-0.115905277431,0.250962018967,0.0978865027428,-0.175170451403,-0.142405375838,80,80,80,78,0,2,5.60055160522,0.679038771201,425.817822548,True,2.79877781868,2.05078554153,9.19482044992e-06,3,11,False,0.345993310213,0.559486567974,0.48882162571,0.906481862068,-99.9193115234,40.1301727295,-25.834356308,-43.2611923218,74,9595233.36469,21556.2496672,8.06963120976,NOT_AVAILABLE,201.093729613,14.0373266196,109.557898298,-5.3451764848,2.57849870483e-05
493,-5.25994,110.20187,448,N,07 20 48.45,-05 15 35.8,     , 8.630,V, 9.470,V,G8III           ,K2-3III   ,HIP 35600                    ,Simbad,N,1,21.208, ,            ,0.0, ,      ,  26.50,  88.60,  11.50,       ,       ,3.0,1976ApJ...208..142P                                ,Details,35600,           ,1635378410781933568,3058418895491950336,1147072,2015.0,110.201922787,0.195885680994,-5.25997174787,0.204088337666,2.47511062703,0.276654746024,7.0648108559,0.0808438757394,-6.71702128057,0.057184978293,-0.468805611134,0.33623483777,0.048473816365,-0.0524643473327,-0.51046872139,-0.0823282301426,0.0797580853105,0.116352848709,-0.0387947112322,-0.0303868893534,97,97,97,96,0,1,1.28370988369,0.540703147943,181.470298088,True,5.33508396149,3.06942868233,1.47588198161e-05,3,11,False,0.205281659961,0.391571044922,0.483759015799,0.733545899391,-29.2988605499,41.7353973389,-40.4538764954,-41.2281837463,89,7389154.04573,171138.339288,8.35328326227,NOT_AVAILABLE,220.978404283,4.09777137109,112.727664491,-27.1192772396,2.34315952778e-05
494,-23.79372,110.46887,449,N,07 21 52.53,-23 47 37.4,     , 8.580,V, 8.980, ,B9              ,          ,CD -23 5335                  ,Simbad,N,1,2.118, ,            ,0.0, ,      , 127.60, 135.10,  16.70,       ,       ,4.0,1982ApJ...261..612L                                ,Details,-2147483648,6537-1289-1,1635378410781933568,5617822239689822848,391138,2015.0,110.468842991,0.195856341659,-23.7937083768,0.258343505704,2.9140727237,0.294781744707,-12.7109954028,0.405239713045,5.73465111682,0.409408775325,-0.153363764286,-0.12938554585,-0.55759781599,0.21125985682,0.00496784457937,0.226848646998,-0.527794778347,0.24606731534,-0.193202182651,-0.17231553793,177,177,177,170,0,7,,0.873339568569,528.652628425,True,8.52332401276,1.27249002457,1.81665709533e-05,5,28,False,0.15751208365,0.282120525837,0.227516084909,0.363078117371,166.279220581,-84.3561935425,0.752728939056,22.5310649872,240,5880274.01259,35142.4945694,8.60127615367,NOT_AVAILABLE,237.483702863,-4.366173475,117.07296443,-45.3278186852,3.07990079449e-05
497,-3.59744,111.34488,451,N,07 25 22.77,-03 35 50.8,     , 9.500,P,13.400,P,M5III           ,          ,GCVS BX Mon                  ,Simbad,N,2,1259.0, ,     16.0000,0.444, ,0.0370,   4.61,       ,  29.12,       ,       ,4.0,2000AJ....119.1375F                                ,Details,-2147483648,4821-2893-1,1635378410781933568,3060568062769059840,900084,2015.0,111.344838949,0.570669950359,-3.59739655409,0.460114964879,0.452772840086,0.517440886068,-0.0627302707694,2.64444877058,0.582730365675,1.93964652896,-0.742853522301,-0.381225854158,-0.775750696659,0.72456240654,0.101926475763,0.545601069927,-0.66069227457,0.633402228355,-0.522155165672,-0.926790595055,114,114,114,112,0,2,,1.21616836423,833.499415571,True,11.8295183182,0.647833108902,1.80811293831e-05,5,13,False,0.12636269629,0.657635390759,0.342047631741,0.684586107731,16.8704166412,41.4215316772,-45.8822784424,-44.2865104675,111,1852146.3333,29981.3958944,9.85558182337,NOT_AVAILABLE,220.034373925,5.88050859331,113.69058589,-25.2982120418,5.77901704656e-05
513,44.18475,114.58304,466,N,07 38 19.93,+44 11 05.1,     , 8.600, ,      , ,K0              ,          ,BD +44 1650                  ,Simbad,N,1,591.1, ,            ,0.0, ,      ,   7.50,       ,  19.10,       ,       ,3.0,1982MNRAS.201..487G                                ,Details,-2147483648,2970-1829-1,1635378410781933568,925405164109232000,164788,2015.0,114.582962194,0.212888855137,44.1846876874,0.145130259885,1.92246855674,0.303119248768,-11.6083380079,0.558757180776,-16.535597489,0.677745011232,0.329450368881,-0.381494671106,-0.450542092323,0.0624071955681,-0.375627160072,-0.324089348316,0.0923091694713,0.463410407305,-0.479241400957,-0.554687261581,140,140,140,135,0,5,,0.591333305011,448.187159613,True,5.81782388687,2.58500957489,1.88056346815e-05,5,17,False,0.393774628639,0.366241395473,0.217008605599,0.661438703537,-174.958343506,-9.8690032959,24.3334388733,-24.8531608582,139,6885168.80169,15446.7364127,8.42998358335,NOT_AVAILABLE,174.66493362,26.5824467839,108.815567272,22.3380632167,9.92607025115e-06
