,KIC,camp,KOI,Mult,period,period_err,bjd0,bjd0_err,pdepth,sdepth,pwidth,swidth,sep,morph,ra,dec,GLon,GLat,kmag,Teff,Teff(Pinsonneault),Teff(Casagrande),SC,Unnamed: 23,tgas_hip,tgas_tycho2_id,tgas_solution_id,tgas_source_id,tgas_random_index,tgas_ref_epoch,tgas_ra,tgas_ra_error,tgas_dec,tgas_dec_error,tgas_parallax,tgas_parallax_error,tgas_pmra,tgas_pmra_error,tgas_pmdec,tgas_pmdec_error,tgas_ra_dec_corr,tgas_ra_parallax_corr,tgas_ra_pmra_corr,tgas_ra_pmdec_corr,tgas_dec_parallax_corr,tgas_dec_pmra_corr,tgas_dec_pmdec_corr,tgas_parallax_pmra_corr,tgas_parallax_pmdec_corr,tgas_pmra_pmdec_corr,tgas_astrometric_n_obs_al,tgas_astrometric_n_obs_ac,tgas_astrometric_n_good_obs_al,tgas_astrometric_n_good_obs_ac,tgas_astrometric_n_bad_obs_al,tgas_astrometric_n_bad_obs_ac,tgas_astrometric_delta_q,tgas_astrometric_excess_noise,tgas_astrometric_excess_noise_sig,tgas_astrometric_primary_flag,tgas_astrometric_relegation_factor,tgas_astrometric_weight_al,tgas_astrometric_weight_ac,tgas_astrometric_priors_used,tgas_matched_observations,tgas_duplicated_source,tgas_scan_direction_strength_k1,tgas_scan_direction_strength_k2,tgas_scan_direction_strength_k3,tgas_scan_direction_strength_k4,tgas_scan_direction_mean_k1,tgas_scan_direction_mean_k2,tgas_scan_direction_mean_k3,tgas_scan_direction_mean_k4,tgas_phot_g_n_obs,tgas_phot_g_mean_flux,tgas_phot_g_mean_flux_error,tgas_phot_g_mean_mag,tgas_phot_variable_flag,tgas_l,tgas_b,tgas_ecl_lon,tgas_ecl_lat,tgas_match_distance
22,11013201,Kepler,972,1,0.2273937,1e-07,55001.990706,0.013106,0.0002,-1.0,0.2377,-1.0,1.0,0.98,282.0003,48.5422,77.9525,20.5223,9.275,7779.0,-9999.0,-9999.0,True,,92247,            ,1635378410781933568,2119765372181633152,1911438,2015.0,282.000417977,0.185082621419,48.5422547006,0.278452469925,4.15890445346,0.239153825424,10.4553548183,0.0824892352505,8.35333977943,0.0823334490147,-0.139652609825,-0.267824321985,0.0661035329103,-0.0239760857075,0.301539033651,-0.0427044257522,0.11397806555,-0.0970584526658,0.0358421318233,0.00543308863416,95,95,94,92,1,3,5.30788183212,0.546397238806,480.817650149,True,5.3893032074,3.19558930397,2.26405863941e-05,3,15,False,0.4112175107,0.370755821466,0.0673223510385,0.21025660634,-115.381767273,86.6686630249,-11.954208374,6.63715362549,118,3352899.80117,3807.64275574,9.21121862617,NOT_AVAILABLE,77.9525571657,20.5221026828,294.937453379,70.9442816205,3.98641928752e-05
30,10030943,Kepler,-1,1,0.2357801,1e-07,54953.674633,0.012916,0.0077,0.0076,0.2576,0.2609,0.5031,1.0,298.5518,46.9368,81.1019,9.7171,11.326,6704.0,6850.0,6742.0,True,,-2147483648,3562-2361-1 ,1635378410781933568,2085562279862646400,946491,2015.0,298.551728824,0.216702513713,46.9368131635,0.349776619562,1.49226547397,0.347825816574,-3.85256695042,1.14995411481,-3.94205243821,1.19351383997,-0.196435511112,6.66094929329e-05,-0.573996663094,0.251950860023,0.734910607338,-0.344611614943,-0.802805602551,-0.671565651894,-0.501311063766,0.0694217011333,107,107,107,101,0,6,,0.593573598832,514.4330357,True,5.83921527863,2.74578285217,3.54578951374e-05,5,16,False,0.299022138119,0.250212192535,0.115806631744,0.151861563325,-140.260971069,64.8876190186,1.49769461155,7.22671556473,123,548412.121366,2271.98714868,11.1770024506,NOT_AVAILABLE,81.1018836799,9.71693987498,321.492558561,65.3519278342,4.39862886216e-05
45,12216817,Kepler,-1,1,0.2462731,1e-07,55002.067959,0.014126,0.041,0.041,0.2391,0.241,0.5006,1.0,295.7964,50.896,83.7802,13.1896,10.662,6681.0,7000.0,7121.0,True,,-2147483648,3569-368-1  ,1635378410781933568,2135398434663644800,1938454,2015.0,295.796380746,0.126621668272,50.8959511579,0.214358672293,0.782554930074,0.24833716679,-3.30651359766,0.972966026373,-8.70744264708,0.573901951426,0.482524514198,0.568750202656,-0.642315149307,-0.197899162769,0.679612755775,-0.688269615173,-0.291272938251,-0.872831702232,-0.100538142025,-0.0764469653368,95,95,94,94,1,1,,0.27188614746,122.196345824,True,2.81850028038,10.9281282425,2.53197958955e-05,5,13,False,0.382221400738,0.375890105963,0.164459332824,0.291206926107,-62.4111251831,79.0121994019,33.9547996521,29.9881153107,93,1008232.65102,2108.43475952,10.5158681696,NOT_AVAILABLE,83.7801967181,13.1894756886,322.273910506,69.6945271118,1.26668029673e-05
76,8045121,Kepler,-1,1,0.2631774,1e-07,54953.761215,0.014854,0.0053,0.0053,0.2533,0.2551,0.5037,1.0,297.0398,43.8728,77.8672,9.1406,11.971,6990.0,-9999.0,7074.0,False,,-2147483648,3148-589-1  ,1635378410781933568,2078904290279633664,62620,2015.0,297.039823415,0.159115155396,43.8727521507,0.245793672656,1.15798922173,0.327717454912,0.693742237722,1.18268787706,0.370317381894,1.06752113722,0.0754739791155,0.194947019219,-0.588606834412,-0.110963955522,0.847946107388,-0.654261767864,-0.764540791512,-0.812866330147,-0.724015295506,0.56617462635,99,99,97,91,2,8,,0.411929958152,159.76690473,True,4.11578083038,5.68459558487,2.82752898784e-05,5,16,False,0.295967400074,0.214609622955,0.398170381784,0.349821448326,-113.087791443,71.3243255615,-1.65795433521,2.57159805298,133,285685.93246,1817.05770628,11.8850479246,NOT_AVAILABLE,77.867281955,9.14038017305,316.278078035,63.0338621124,5.13350291651e-05
91,9760531,Kepler,-1,1,0.2727979,2e-07,54953.906065,0.016139,0.0368,0.0368,0.2293,0.2381,0.5008,1.0,286.7491,46.539,77.1273,16.8249,9.54,6742.0,6999.0,7111.0,True,,-2147483648,3541-3138-1 ,1635378410781933568,2130533576746867968,1639243,2015.0,286.749116369,0.143405044119,46.5389905335,0.228813084336,2.21452359614,0.251795768449,5.26520464947,0.895619743689,-0.806951130933,0.679114416864,0.328989118338,0.32900545001,-0.430558621883,-0.29805368185,0.443977981806,-0.465946227312,-0.569237947464,-0.806655585766,-0.143465146422,0.0312339030206,78,78,77,74,1,4,,0.335154035336,160.831196904,True,3.39877390862,8.30245304108,2.31163576245e-05,5,11,False,0.285424232483,0.167148754001,0.150555059314,0.154971674085,-83.5985565186,89.2123413086,37.0419960022,16.3166179657,84,2743076.57333,4712.09484142,9.42917523594,NOT_AVAILABLE,77.1273427718,16.8247202117,302.132797573,68.1182360778,1.23003246578e-05
165,11244501,Kepler,-1,1,0.2966763,2e-07,54953.815356,0.015727,0.0579,0.0463,0.2603,0.2374,0.5174,0.89,292.0443,48.9436,80.8848,14.5094,9.849,5151.0,5321.0,5544.0,True,,-2147483648,3551-183-1  ,1635378410781933568,2129722034085696768,1876025,2015.0,292.044229751,0.118958852317,48.9432543918,0.227109491562,9.50314468752,0.251168263845,-8.42763212332,0.786778102106,-67.1344976735,0.792841505627,-0.177630916238,-0.136290922761,-0.41859331727,0.157676696777,0.877316534519,-0.581692874432,-0.708658337593,-0.702674210072,-0.537028551102,0.401536554098,85,85,84,85,1,0,,0.201186836466,59.3534660187,True,2.19138479233,21.7282733917,2.78414372588e-05,5,13,False,0.305638253689,0.14258210361,0.145245105028,0.342335879803,-150.369247437,-86.6453475952,-3.28271889687,-1.01197826862,90,1981549.80976,4984.52786109,9.78225757992,NOT_AVAILABLE,80.8845529083,14.5091120542,313.628640697,69.0669732062,6.67972661393e-05
245,9181877,Kepler,-1,1,0.3210098,2e-07,54953.793919,0.016609,0.0111,0.0088,0.1387,0.1154,0.5037,0.75,300.5397,45.5072,80.5581,7.8076,11.698,4599.0,4743.0,4913.0,False,,-2147483648,3558-1614-1 ,1635378410781933568,2082203924676158336,488752,2015.0,300.53970575,0.214825651546,45.5071984781,0.295442985536,0.785206561019,0.372766489876,-0.74325683716,1.60684090826,-2.18757663193,1.25331943362,0.647104799747,0.617168724537,-0.756129562855,-0.470770180225,0.71676659584,-0.745237052441,-0.623301744461,-0.876323401928,-0.340692788363,0.498698949814,96,96,96,90,0,6,,0.603459172703,229.046461967,True,5.93363380432,2.7203681469,3.17228877975e-05,5,15,False,0.305795609951,0.284690260887,0.114389754832,0.493906229734,-108.412162781,-68.7382049561,56.468170166,13.4955949783,112,387658.016939,514.272988805,11.5536481393,NOT_AVAILABLE,80.5581016315,7.8074283636,322.826629067,63.4536982163,1.04133578688e-05
341,3443519,Kepler,-1,1,0.353627,2e-07,54953.826091,0.019651,0.0286,0.0222,0.2661,0.2333,0.5093,0.89,291.407,38.5679,71.1048,10.4197,11.481,5929.0,6194.0,6008.0,True,,-2147483648,3134-161-1  ,1635378410781933568,2052734367353293952,1961965,2015.0,291.406980408,0.458666909778,38.5678456439,0.543162543334,-0.581318041112,0.779556914325,2.01874161546,3.04623648882,-18.6609333971,2.62835385193,0.359125822783,0.274397671223,-0.468181937933,-0.486190080643,0.422742545605,-0.56571239233,-0.407566666603,-0.801838994026,-0.508653879166,0.470953643322,79,79,79,76,0,3,,1.7084072264,809.155905362,True,16.5881519318,0.342090934515,2.36468222283e-05,5,11,True,0.506558775902,0.187081545591,0.179093137383,0.369919806719,-76.3017349243,-84.7206115723,-12.1939716339,11.3855571747,85,468818.661146,787.931093271,11.3472578381,NOT_AVAILABLE,71.1047614249,10.419532686,304.202819025,59.4910404857,3.33251873293e-05
348,10711938,Kepler,-1,1,0.3576039,2e-07,54953.875654,0.018671,0.0803,0.0733,0.2763,0.2314,0.5073,0.95,282.6142,48.02,77.5623,19.9695,12.144,-1.0,-1.0,-1.0,False,,-2147483648,3544-1722-1 ,1635378410781933568,2119689677677323904,1601204,2015.0,282.614180308,0.324719626421,48.0200165102,0.469130198233,2.44148645217,0.606420723726,-3.46097425338,2.61380924417,13.5540376426,1.26695145611,-0.1269813627,-0.136939749122,-0.317654699087,0.25343298912,0.880748867989,-0.593666613102,-0.563369393349,-0.694042682648,-0.428805917501,-0.159898027778,86,86,86,79,0,7,,0.897299156128,422.982761432,True,8.7539806366,1.22647309303,3.1841071177e-05,5,13,False,0.177187010646,0.350906461477,0.243297845125,0.313112765551,-95.9858474731,16.6035575867,9.7193479538,-34.8676376343,103,330557.796169,847.694944011,11.7266515528,NOT_AVAILABLE,77.5623902976,19.9693336022,295.725709945,70.3349498667,3.99844568852e-05
358,12305537,Kepler,-1,1,0.361815,2e-07,54953.653484,0.019373,0.135,0.1199,0.1162,0.1158,0.5054,0.77,290.2849,51.0336,82.3894,16.3919,11.914,-1.0,-1.0,-1.0,False,,-2147483648,3555-946-1  ,1635378410781933568,2133175393951494272,611781,2015.0,290.284770136,0.291569612684,51.0335374284,0.419482675585,1.15873950207,0.540420522317,-15.9019969355,1.97260650905,-11.7666607282,1.2481174851,0.516205191612,0.568991959095,-0.677367866039,-0.363541871309,0.782855570316,-0.740212500095,-0.535452842712,-0.88089877367,-0.417315304279,0.302305698395,105,105,105,98,0,7,,1.04709355313,1026.99665267,True,10.1976413727,0.908900737762,3.18476850225e-05,5,15,False,0.213404461741,0.142627462745,0.145443543792,0.15911218524,-78.3100967407,80.9799575806,-7.16242933273,11.4103794098,113,318908.370218,1424.64513196,11.7656052686,NOT_AVAILABLE,82.3894121042,16.3918031749,313.231374658,71.439779701,2.05150203845e-05
