##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): Aug. 9, 2016, 10:12 a.m.
## Download Date (Y/M/D): 2016/10/17
##
## Query String: {&quot;sort&quot;:&quot;p&quot;,&quot;kics&quot;:[],&quot;campaign&quot;:[&quot;5&quot;,&quot;4&quot;,&quot;1&quot;,&quot;0&quot;,&quot;3&quot;,&quot;2&quot;,&quot;-1&quot;],&quot;etvlong&quot;:true,&quot;cols&quot;:[&quot;sdepth&quot;,&quot;glon&quot;,&quot;scdata&quot;,&quot;camp&quot;,&quot;pteff&quot;,&quot;ra&quot;,&quot;bjd0&quot;,&quot;flags&quot;,&quot;morph&quot;,&quot;glat&quot;,&quot;n&quot;,&quot;pdepth&quot;,&quot;kic&quot;,&quot;lcdata&quot;,&quot;dec&quot;,&quot;koiid&quot;,&quot;keff&quot;,&quot;cteff&quot;,&quot;p&quot;,&quot;sep&quot;,&quot;pwidth&quot;,&quot;swidth&quot;,&quot;bjd0err&quot;,&quot;perr&quot;,&quot;kmag&quot;],&quot;etvshort&quot;:true,&quot;ra&quot;:{&quot;max&quot;:360.0,&quot;min&quot;:0.0},&quot;incat1&quot;:true,&quot;kois&quot;:[]}
##
EPIC,camp,KOI,Mult,period,period_err,bjd0,bjd0_err,pdepth,sdepth,pwidth,swidth,sep,morph,ra,dec,GLon,GLat,kmag,Teff,Teff(Pinsonneault),Teff(Casagrande),SC,
211484776,K2C5,-1,1,0.2818544,0.0000126,2457139.998630,0.014098,0.4451,0.3814,0.1635,0.1206,0.4999,0.73,123.6771,12.9184,-1.0000,-1.0000,14.5240,-1.0000,-1.0000,-1.0000,False,
211432905,K2C5,-1,1,0.2826660,0.0000126,2457140.280440,0.017826,0.1628,0.1320,0.1936,0.1629,0.4981,0.82,133.2553,12.1392,-1.0000,-1.0000,17.7470,-1.0000,-1.0000,-1.0000,False,
211389268,K2C5,-1,1,0.2849768,0.0000128,2457143.646440,0.009357,0.2199,0.1700,0.1113,0.0989,0.4972,0.63,132.2994,11.4711,-1.0000,-1.0000,15.4030,-1.0000,-1.0000,-1.0000,False,
210720575,K2C4,-1,1,0.2867265,-1,2457062.244920,0.015894,0.0123,-1.0000,0.2692,-1.0000,1.0000,0.63,56.9877,18.6634,-1.0000,-1.0000,9.3140,-1.0000,-1.0000,-1.0000,False,
211914718,K2C5,-1,1,0.2910112,0.0000132,2457139.842760,0.015404,0.3795,0.3821,0.1436,0.1576,0.4972,0.75,134.2905,18.9456,-1.0000,-1.0000,11.4480,-1.0000,-1.0000,-1.0000,False,
211481740,K2C5,-1,1,0.3005127,0.0000138,2457139.918350,0.009547,0.5320,-1.0000,0.1428,-1.0000,1.0000,0.60,131.1130,12.8756,-1.0000,-1.0000,14.1120,-1.0000,-1.0000,-1.0000,False,
211538336,K2C5,-1,1,0.3032811,0.0000140,2457140.010700,0.015915,0.0334,-1.0000,0.2791,-1.0000,1.0000,0.84,123.5398,13.6785,-1.0000,-1.0000,13.6770,-1.0000,-1.0000,-1.0000,False,
206492383,K2C3,-1,1,0.3055671,0.0000164,2456977.378280,0.016262,0.2679,0.2139,0.1627,0.0651,0.5020,0.73,334.9754,-5.0306,-1.0000,-1.0000,12.7610,-1.0000,-1.0000,-1.0000,False,
212008305,K2C5,-1,1,0.3075133,0.0000143,2457140.010500,0.019544,0.3123,0.2570,0.1345,0.0991,0.4971,0.77,136.0540,20.3921,-1.0000,-1.0000,13.0370,-1.0000,-1.0000,-1.0000,False,
201152103,K2C1,-1,1,0.3080231,0.0000128,1976.437212,0.021659,0.2206,0.1715,0.1456,0.1245,0.5038,0.79,172.1058,-5.2464,-1.0000,-1.0000,12.4180,-1.0000,-1.0000,-1.0000,False,
211549874,K2C5,-1,1,0.3092404,0.0000144,2457140.042800,0.016973,0.2162,0.1801,0.1506,0.1409,0.4997,0.75,124.8875,13.8404,-1.0000,-1.0000,14.7120,-1.0000,-1.0000,-1.0000,False,
211731135,K2C5,-1,1,0.3111373,0.0000145,2457140.801280,0.016302,0.3077,0.2890,0.1231,0.1368,0.5020,0.76,130.9144,16.3412,-1.0000,-1.0000,15.6560,-1.0000,-1.0000,-1.0000,False,
212172212,K2C5,-1,1,0.3113035,0.0000145,2457140.083420,0.017934,0.1923,0.1664,0.2505,0.1426,0.5058,0.90,128.1705,23.5405,-1.0000,-1.0000,12.4500,-1.0000,-1.0000,-1.0000,False,
201698669,K2C1,-1,1,0.3147438,0.0000131,1976.121720,0.021620,0.1693,0.0757,0.1623,0.2829,0.5165,0.75,172.4966,3.6164,-1.0000,-1.0000,14.5480,-1.0000,-1.0000,-1.0000,False,
212145065,K2C5,-1,1,0.3151445,0.0000148,2457146.064320,0.018753,0.0361,0.0288,0.2436,0.2078,0.5070,0.90,127.0007,22.9287,-1.0000,-1.0000,11.4730,-1.0000,-1.0000,-1.0000,False,
202073348,K2C0,-1,1,0.3207353,0.0000479,56775.966591,0.015742,0.1851,0.2053,0.1007,0.0824,0.4944,0.77,93.4608,25.6286,-1.0000,-1.0000,12.1000,-1.0000,-1.0000,-1.0000,False,
212175535,K2C5,-1,1,0.3223335,0.0000153,2457140.256120,0.034383,0.0725,0.0505,0.2871,0.2673,0.4576,0.92,132.5424,23.6218,-1.0000,-1.0000,11.5780,-1.0000,-1.0000,-1.0000,False,
211499872,K2C5,-1,1,0.3227483,0.0000154,2457139.768550,0.017011,0.0548,0.0525,0.1451,0.1522,0.5018,0.76,124.4207,13.1384,-1.0000,-1.0000,11.9010,-1.0000,-1.0000,-1.0000,False,
211410762,K2C5,-1,1,0.3237085,0.0000154,2457140.045490,0.017352,0.3294,0.3288,0.1725,0.1901,0.4961,0.77,127.8552,11.8036,-1.0000,-1.0000,13.6370,-1.0000,-1.0000,-1.0000,False,
212164476,K2C5,-1,1,0.3392271,0.0000165,2457140.833380,0.020968,0.0623,0.0423,0.2568,0.2345,0.4708,0.90,134.4340,23.3576,-1.0000,-1.0000,14.4990,-1.0000,-1.0000,-1.0000,False,
211929618,K2C5,-1,1,0.3393418,0.0000165,2457140.211350,0.020836,0.2937,0.2432,0.2252,0.1052,0.4736,0.85,127.0935,19.1687,-1.0000,-1.0000,13.0620,-1.0000,-1.0000,-1.0000,False,
211589784,K2C5,-1,1,0.3398015,0.0000165,2457140.026170,0.021312,0.1756,0.1614,0.1478,0.1601,0.5006,0.84,137.0947,14.4007,-1.0000,-1.0000,12.6780,-1.0000,-1.0000,-1.0000,False,
205906302,K2C3,-1,1,0.3447051,0.0000195,2456981.911770,0.027200,0.0719,-1.0000,0.2152,-1.0000,1.0000,0.78,338.8618,-17.9484,-1.0000,-1.0000,16.2610,-1.0000,-1.0000,-1.0000,False,
203749720,K2C2,-1,1,0.3454166,0.0000159,56894.032485,0.039608,0.1432,0.1183,0.1650,0.2040,0.4964,0.88,241.0102,-25.0673,-1.0000,-1.0000,12.2200,-1.0000,-1.0000,-1.0000,False,
202073397,K2C0,-1,1,0.3455274,0.0000537,56774.532584,0.020847,0.1722,0.1657,0.2317,0.2398,0.4926,0.95,103.9588,19.0042,-1.0000,-1.0000,12.6000,-1.0000,-1.0000,-1.0000,False,
211918830,K2C5,-1,1,0.3463898,-1,2457139.957970,0.019778,0.2878,0.2394,0.1376,0.1681,0.5034,0.77,130.3398,19.0073,-1.0000,-1.0000,12.7980,-1.0000,-1.0000,-1.0000,False,
202073489,K2C0,-1,1,0.3487252,0.0000545,56774.558866,0.018518,0.2449,0.2253,0.1584,0.0821,0.5086,0.74,101.7617,15.6231,-1.0000,-1.0000,12.2000,-1.0000,-1.0000,-1.0000,False,
210738738,K2C4,-1,1,0.3490000,0.0000191,2457062.569750,0.014409,0.0154,-1.0000,0.2930,-1.0000,1.0000,0.86,53.3543,18.9379,-1.0000,-1.0000,11.0590,-1.0000,-1.0000,-1.0000,False,
210437941,K2C4,-1,1,0.3505737,0.0000192,2457062.564570,0.014274,0.4026,-1.0000,0.1745,-1.0000,1.0000,0.64,58.0169,14.2875,-1.0000,-1.0000,12.5850,-1.0000,-1.0000,-1.0000,False,
202071279,K2C0,-1,1,0.3506684,0.0000545,54999.626967,0.029894,0.1056,0.0954,0.0852,0.0730,0.4925,0.75,96.0042,20.4700,-1.0000,-1.0000,10.2000,-1.0000,-1.0000,-1.0000,False,
210757799,K2C4,-1,1,0.3532001,0.0000194,2457062.194230,0.023369,0.0908,0.0819,0.2027,0.2627,0.4979,0.93,50.7211,19.2281,-1.0000,-1.0000,11.6500,-1.0000,-1.0000,-1.0000,False,
211523408,K2C5,-1,1,0.3545031,0.0000175,2457140.763240,0.017116,0.1038,0.0952,0.2530,0.2323,0.5190,0.90,130.9916,13.4697,-1.0000,-1.0000,11.1470,-1.0000,-1.0000,-1.0000,False,
